Vessel,Transect No.,Target Strength (db/kg),Mean Sa (/m2),Biomass Density (kg/m2),Distance
LB,T01,-35.5,-59.30397478,0.00416488027929511,38.068145799
LB,T02,-35.5,-57.30008005,0.0066068127009024,38.42668362
LJ,T01,-35.5,-58.00004873,0.00562335015476506,37.053379978
LJ,T02,-35.5,-59.09603256,0.00436914787728008,37.24767052
LM,T01,-35.5,-59.76250944,0.00374756397962893,37.540495618
LM,T02,-35.5,-57.05224718,0.00699479968807161,37.71829968
MS,T01,-35.5,-59.7622299,0.00374780520483307,39.227921883
MS,T02,-35.5,-56.92619658,0.00720079325684711,39.82371946
SL,T01,-35.5,-57.85260127,0.00581754662973943,39.013695654
SL,T02,-35.5,-59.20853437,0.00425742065676673,39.63119793
LB,T03,-35.5,-60.73151957,0.0029981133138142,29.65817119
LJ,T03,-35.5,-60.52316663,0.00314545399041531,28.65793792
LM,T03,-35.5,-58.2740344,0.00527954577895598,28.99145624
MS,T03,-35.5,-60.71664788,0.00300839745078892,30.5410213
SL,T03,-35.5,-64.26502535,0.00132891580015178,30.1435172
LB,T04,-35.5,-56.4341833,0.00806457843206766,29.2365892
LJ,T04,-35.5,-60.05325369,0.00350489192634442,28.3041871
LM,T04,-35.5,-59.75541907,0.00375368731731346,28.988423
MS,T04,-35.5,-57.72075612,0.00599686659881212,30.3742851
SL,T04,-35.5,-60.32692047,0.00329084898310784,29.8901651
