Set_Number,No_jars,Lon1,Lat1,Lon2,Lat2,Time1,Time2,TideDirection,Observer,WindDirection,WindSpeed,Swell,AirTemp,FlowReading1,FlowReading2,DiscDepthD,DiscDepthA,CTD_ID,CTD_Lat,CTD_Lon
GB2023-01,1,6621.48,4533.89,6621.74,4333.77,18:55,19:05,against,Tracey,W,8,0,17,540248,563471,10,9,NA,NA,NA
GB2023-02,1,6621.76,4333.85,6621.38,4334.03,19:10,19:20,with,Tracey,W,8,0,17,563471,600019,10,9,NA,NA,NA
