Set_Number,No_jars,Tow_No,Lat1,Lon1,Lat2,Lon2,Time1,Time2,TideDirection,Speed,Heading,Observers,WindDirection,WindSpeed,Swell,AirTemp,FlowReading1,FlowReading2,DiscDepthD,DiscDepthA,CTD_ID,CTD_Lat,CTD_Lon
SB2026-13,1,1,45 02.19,65 14.73,45 02.26,65 14.12,19:20,19:30,against,2.5,70,Kyle,NE,17,0,19,NA,NA,10,10,10J101609_20260802_231326,45.0514,-65.2144
SB2026-14,1,2,45 02.38,65 14.49,45 02.16,65 15.53,19:37,19:47,with,5,260,Kyle,NE,17,0,19,NA,NA,10,10,10J101609_20260802_231326,45.0514,-65.2144
