Vessel,Transect.No.,Date.Time.Start,Date.Time.End,X,Y,Xend,Yend,Dist..km.,Type,Start.Lat,Start.Lon,End.Lat,End.Lon,Survey,Location,Distance,Start,End,Duration,Speed,Year,Date
BP,T04,2025-07-29T00:00:19Z,2025-07-29T01:15:12Z,-64.83736026,45.31535461,-65.05124557,45.24896973,18.36700013,Actual,NA,NA,NA,NA,7,SB,18.36700013,2025-07-29T00:00:19Z,2025-07-29T01:15:12Z,4493,7.946251843467439,2025,2025-07-29
BP,T03,2025-07-28T23:00:51Z,2025-07-28T23:55:51Z,-65.04344915,45.26484532,-64.85081672,45.32390424,16.49804987,Actual,NA,NA,NA,NA,7,SB,16.49804987,2025-07-28T23:00:51Z,2025-07-28T23:55:51Z,3300,9.718051290697211,2025,2025-07-28
BP,T02,2025-07-28T22:01:11Z,2025-07-28T22:55:54Z,-64.86966236,45.33209015,-65.04978496,45.27669181,15.42941092,Actual,NA,NA,NA,NA,7,SB,15.42941092,2025-07-28T22:01:11Z,2025-07-28T22:55:54Z,3283,9.13564000083241,2025,2025-07-28
BP,T01,2025-07-28T21:06:21Z,2025-07-28T21:56:57Z,-65.04807974,45.29057885,-64.88235648,45.33909836,14.101928426,Actual,NA,NA,NA,NA,7,SB,14.101928426,2025-07-28T21:06:21Z,2025-07-28T21:56:57Z,3036,9.028950115808907,2025,2025-07-28
FM,T01,2025-07-28T22:56:29Z,2025-07-29T01:26:23Z,-65.19043912,45.08162969,-64.72056976,45.23352965,40.837296457,Actual,NA,NA,NA,NA,7,SB,40.837296457,2025-07-28T22:56:29Z,2025-07-29T01:26:23Z,8994,8.826014047695674,2025,2025-07-28
FM,T02,2025-07-29T02:13:12Z,2025-07-29T04:39:43Z,-64.79319836,45.28914144,-65.22444995,45.14035723,38.03360525,Actual,NA,NA,NA,NA,7,SB,38.03360525,2025-07-29T02:13:12Z,2025-07-29T04:39:43Z,8791,8.409878651934934,2025,2025-07-29
LB,T01,2025-07-28T20:56:18Z,2025-07-28T23:45:15Z,-65.25008529,45.08968274,-64.74422688,45.25983746,44.366929235,Actual,NA,NA,NA,NA,7,SB,44.366929235,2025-07-28T20:56:18Z,2025-07-28T23:45:15Z,10137,8.507666146213122,2025,2025-07-28
LB,T02,2025-07-29T00:44:11Z,2025-07-29T03:26:13Z,-64.82211984,45.31202863,-65.23303105,45.16692991,37.15666032,Actual,NA,NA,NA,NA,7,SB,37.15666032,2025-07-29T00:44:11Z,2025-07-29T03:26:13Z,9722,7.429191791445053,2025,2025-07-29
LJ,T01,2025-07-28T21:38:54Z,2025-07-29T00:33:02Z,-65.23185833,45.03678833,-64.68326692,45.21671528,47.64888683,Actual,NA,NA,NA,NA,7,SB,47.64888683,2025-07-28T21:38:54Z,2025-07-29T00:33:02Z,10448,8.865027964742268,2025,2025-07-28
LJ,T02,2025-07-29T01:12:43Z,2025-07-29T04:03:39Z,-64.76067585,45.2694368,-65.23194187,45.10903705,41.16380402,Actual,NA,NA,NA,NA,7,SB,41.16380402,2025-07-29T01:12:43Z,2025-07-29T04:03:39Z,10256,7.801857332901405,2025,2025-07-29
LM,T01,2025-07-28T22:03:08Z,2025-07-29T00:50:01Z,-65.24062711,45.07706323,-64.72862021,45.24849979,44.819014054,Actual,NA,NA,NA,NA,7,SB,44.819014054,2025-07-28T22:03:08Z,2025-07-29T00:50:01Z,10013,8.700788203208566,2025,2025-07-28
LM,T02,2025-07-29T01:34:37Z,2025-07-29T03:56:33Z,-64.80701636,45.3007828,-65.23402192,45.15256588,37.59315735,Actual,NA,NA,NA,NA,7,SB,37.59315735,2025-07-29T01:34:37Z,2025-07-29T03:56:33Z,8516,8.580916273276655,2025,2025-07-29
