Vessel,Transect No.,Target Strength (db/kg),Mean Sa (/m2),Biomass Density (kg/m2),Distance
BP,T04,-35.5,-55.9830155,0.00894743289702136,18.36700013
BP,T03,-35.5,-63.07257529,0.00174880936785878,16.49804987
BP,T02,-35.5,-57.96762373,0.00566549195258179,15.42941092
BP,T01,-35.5,-61.15747201,0.00271802094455215,14.101928426
FM,T01,-35.5,-61.30312818,0.00262837411814726,40.837296457
FM,T02,-35.5,-50.43860081,0.0320730247203765,38.03360525
LB,T01,-35.5,-59.58293345,0.00390576990734015,44.366929235
LB,T02,-35.5,-55.22485837,0.0106540360752428,37.15666032
LJ,T01,-35.5,-56.24525078,0.00842315751160475,47.64888683
LJ,T02,-35.5,-55.45703726,0.0100994162935756,41.16380402
LM,T01,-35.5,-61.89523361,0.0022933832644606,44.819014054
LM,T02,-35.5,-56.20234517,0.00850678551692479,37.59315735
MS,T01,-35.5,-53.3474005,0.0164157205363017,48.71669716
MS,T02,-35.5,-53.31698028,0.016531108334967,42.3657748
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
