Target Strength,Area (km2),Mean Sa,Density (kg/m2),Biomass (tons),Standard Error (tons),Standard Error (%),Layer,Turnover
-35.5,844,-59.98467448,0.003560472,3004,602.35169,20.05156477,German Bank,1999
-35.5,233,-58.81385267,0.004602625,1089,291.0888117,26.73806859,Seal Island,1999
