Vessel,Start Lat,Start Lon,End Lat,End Lon
BP,43.56666667,-66.49333333,43.23333333,-66.49333333
MS,43.56666667,-66.44266667,43.23333333,-66.44266667
LM,43.56666667,-66.392,43.23333333,-66.392
BP,43.56666667,-66.34133333,43.23333333,-66.34133333
MS,43.56666667,-66.29066667,43.23333333,-66.29066667
LM,43.56666667,-66.24,43.23333333,-66.24
BP,43.502,-66.23,43.2475,-66.23
MS,43.502,-66.209,43.2475,-66.209
LM,43.502,-66.188,43.2475,-66.188
BP,43.502,-66.167,43.2475,-66.167
MS,43.502,-66.146,43.2475,-66.146
LM,43.502,-66.125,43.2475,-66.125
