"","file","cast","date","station_id","latitude","longitude","area","is_prince5","in_germanseal","in_scotsbay","depth","temperature","salinity"
"34","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,33,6.97140026092529,31.2460498809814
"35","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,34,6.9719500541687,31.2453994750977
"36","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,35,6.97289991378784,31.2457008361816
"37","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,36,6.97239971160889,31.245849609375
"38","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,37,6.95620012283325,31.2552490234375
"39","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,38,6.93560028076172,31.2679996490479
"40","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,39,6.90095043182373,31.2858009338379
"41","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,40,6.8575496673584,31.3097991943359
"42","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,41,6.78495025634766,31.3318500518799
"43","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,42,6.7219500541687,31.3571510314941
"44","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,43,6.69375038146973,31.3689994812012
"45","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,44,6.69954967498779,31.365650177002
"46","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,45,6.68860006332397,31.3679504394531
"47","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,46,6.66995000839233,31.3753509521484
"48","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,47,6.65165042877197,31.3820991516113
"49","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,48,6.60844993591309,31.4019012451172
"50","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,49,6.61089992523193,31.4002990722656
"51","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,50,6.6119499206543,31.4002990722656
"52","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,51,6.60920000076294,31.4018001556396
"53","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,52,6.60414981842041,31.4041996002197
"54","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,53,6.60510015487671,31.4039497375488
"55","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,54,6.5935001373291,31.4080505371094
"56","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,55,6.58345031738281,31.4125995635986
"57","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,56,6.58240032196045,31.4132499694824
