"","date","station_id","latitude","longitude","area","depth","temperature","salinity","Year","cast","Source","file","is_prince5","in_germanseal","in_scotsbay"
"31",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",17.20338067,11.09011734,31.08466713,2019,"10J101609_20190721_154422","HSC",NA,FALSE,FALSE,TRUE
"32",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",14.51085674,11.08452703,31.08791677,2019,"10J101609_20190721_154422","HSC",NA,FALSE,FALSE,TRUE
"33",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",14.81002748,11.08709325,31.08472767,2019,"10J101609_20190721_154422","HSC",NA,FALSE,FALSE,TRUE
"34",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",6.732041988,11.09588915,30.99732491,2019,"10J101609_20190721_154422","HSC",NA,FALSE,FALSE,TRUE
"35",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",18.9983731,11.09372406,31.09138544,2019,"10J101609_20190721_154422","HSC",NA,FALSE,FALSE,TRUE
"36",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",10.92073022,11.12126691,31.0530547,2019,"10J101609_20190721_154422","HSC",NA,FALSE,FALSE,TRUE
"37",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",15.10919775,11.0879862,31.08990233,2019,"10J101609_20190721_154422","HSC",NA,FALSE,FALSE,TRUE
"38",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",15.40836663,11.09251892,31.09511913,2019,"10J101609_20190721_154422","HSC",NA,FALSE,FALSE,TRUE
"39",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",7.330438301,11.10970614,31.00708296,2019,"10J101609_20190721_154422","HSC",NA,FALSE,FALSE,TRUE
"40",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",19.59670189,11.09770045,31.09302387,2019,"10J101609_20190721_154422","HSC",NA,FALSE,FALSE,TRUE
"41",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",11.51909766,11.11720663,31.05668034,2019,"10J101609_20190721_154422","HSC",NA,FALSE,FALSE,TRUE
"42",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",15.70753536,11.09453559,31.08973926,2019,"10J101609_20190721_154422","HSC",NA,FALSE,FALSE,TRUE
"43",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",16.00670402,11.09557131,31.09340115,2019,"10J101609_20190721_154422","HSC",NA,FALSE,FALSE,TRUE
"44",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",7.92883349,11.12551076,31.01137998,2019,"10J101609_20190721_154422","HSC",NA,FALSE,FALSE,TRUE
