"file","cast","date","station_id","latitude","longitude","instrumentType"
"1990.nc",6464,1990-07-17,"Prince-5",44.9333000183105,-66.8499984741211,"BO"
"1990.nc",7413,1990-08-17,"Prince-5",44.9333000183105,-66.8499984741211,"BO"
"1990.nc",7416,1990-08-17,"Prince-5",44.9333000183105,-66.8499984741211,"BO"
"1990.nc",8571,1990-09-26,"Prince-5",44.9333000183105,-66.8499984741211,"BO"
"1990.nc",8572,1990-09-26,"Prince-5",44.9333000183105,-66.8499984741211,"BO"
"1990.nc",9199,1990-10-18,"Prince-5",44.9333000183105,-66.8499984741211,"BO"
"1990.nc",9202,1990-10-18,"Prince-5",44.9333000183105,-66.8499984741211,"BO"
"1990.nc",10512,1990-11-15,"Prince-5",44.9333000183105,-66.8499984741211,"CT"
"1990.nc",10514,1990-11-15,"Prince-5",44.9333000183105,-66.8499984741211,"CT"
"1990.nc",11287,1990-12-17,"Prince-5",44.9333000183105,-66.8499984741211,"CT"
"1990.nc",11289,1990-12-17,"Prince-5",44.9333000183105,-66.8499984741211,"CT"
"1993.nc",290,1993-01-12,"Prince-5",44.9333000183105,-66.8499984741211,"CT"
"1993.nc",291,1993-01-12,"Prince-5",44.9333000183105,-66.8499984741211,"CT"
"1993.nc",1168,1993-02-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT"
"1993.nc",1170,1993-02-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT"
"1993.nc",1517,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT"
"1993.nc",1520,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT"
"1993.nc",2480,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT"
"1993.nc",2482,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT"
"1993.nc",3812,1993-05-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT"
"1993.nc",3813,1993-05-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT"
"1993.nc",5360,1993-06-16,"Prince-5",44.9333000183105,-66.8499984741211,"CT"
"1993.nc",5361,1993-06-16,"Prince-5",44.9333000183105,-66.8499984741211,"CT"
"1993.nc",6494,1993-07-12,"Prince-5",44.9333000183105,-66.8499984741211,"CT"
"1993.nc",6496,1993-07-12,"Prince-5",44.9333000183105,-66.8499984741211,"CT"
"1993.nc",7766,1993-08-12,"Prince-5",44.9333000183105,-66.8499984741211,"CT"
"1993.nc",7767,1993-08-12,"Prince-5",44.9333000183105,-66.8499984741211,"CT"
"1993.nc",9665,1993-09-17,"Prince-5",44.9333000183105,-66.8499984741211,"CT"
"1993.nc",9667,1993-09-17,"Prince-5",44.9333000183105,-66.8499984741211,"CT"
"1993.nc",11164,1993-10-18,"Prince-5",44.9333000183105,-66.8499984741211,"CT"
"1993.nc",11166,1993-10-18,"Prince-5",44.9333000183105,-66.8499984741211,"CT"
"1993.nc",12397,1993-11-17,"Prince-5",44.9333000183105,-66.8499984741211,"CT"
"1993.nc",12399,1993-11-17,"Prince-5",44.9333000183105,-66.8499984741211,"CT"
"1993.nc",13258,1993-12-14,"Prince-5",44.9333000183105,-66.8499984741211,"CT"
"1993.nc",13259,1993-12-14,"Prince-5",44.9333000183105,-66.8499984741211,"CT"
"2009.nc",90,2009-01-13,"Prince-5",44.9333000183105,-66.8499984741211,"CT"
"2009.nc",704,2009-02-17,"Prince-5",44.9333000183105,-66.8499984741211,"CT"
"2009.nc",1225,2009-03-16,"Prince-5",44.9333000183105,-66.8499984741211,"CT"
"2009.nc",1703,2009-04-06,"Prince-5",44.9333000183105,-66.8499984741211,"CT"
"2009.nc",3022,2009-05-11,"Prince-5",44.9333000183105,-66.8499984741211,"CT"
"2009.nc",4844,2009-06-15,"Prince-5",44.9333000183105,-66.8499984741211,"CT"
"2009.nc",5842,2009-07-15,"Prince-5",44.9333000183105,-66.8499984741211,"CT"
"2009.nc",8142,2009-08-17,"Prince-5",44.9333000183105,-66.8499984741211,"CT"
"2009.nc",9516,2009-09-16,"Prince-5",44.9333000183105,-66.8499984741211,"CT"
"2009.nc",10950,2009-10-14,"Prince-5",44.9333000183105,-66.8499984741211,""
"2009.nc",12601,2009-11-18,"Prince-5",44.9333000183105,-66.8499984741211,"CT"
"2009.nc",13269,2009-12-14,"Prince-5",44.9333000183105,-66.8499984741211,""
