"file","cast","date","station_id","latitude","longitude"
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766
"2017.nc",6327,2017-07-13,"Prince-5",44.9306983947754,-66.8495025634766
"2017.nc",8726,2017-08-21,"Prince-5",44.9306983947754,-66.8495025634766
"2017.nc",10505,2017-09-20,"Prince-5",44.9306983947754,-66.8495025634766
"2017.nc",11820,2017-10-11,"Prince-5",44.9306983947754,-66.8495025634766
"2017.nc",13838,2017-11-15,"Prince-5",44.9306983947754,-66.8495025634766
"2018.nc",2712,2018-06-13,"Prince-5",44.9306983947754,-66.8495025634766
"2018.nc",3651,2018-07-17,"Prince-5",44.9306983947754,-66.8495025634766
"2018.nc",5239,2018-08-15,"Prince-5",44.9306983947754,-66.8495025634766
"2018.nc",6865,2018-09-12,"Prince-5",44.9306983947754,-66.8495025634766
"2018.nc",8442,2018-10-17,"Prince-5",44.9306983947754,-66.8495025634766
"2018.nc",9483,2018-11-15,"Prince-5",44.9306983947754,-66.8495025634766
"2019.nc",3629,2019-06-13,"Prince-5",44.9306983947754,-66.8495025634766
"2019.nc",3630,2019-06-13,"Prince-5",44.9306983947754,-66.8495025634766
"2019.nc",4897,2019-07-16,"Prince-5",44.9306983947754,-66.8495025634766
"2019.nc",4898,2019-07-16,"Prince-5",44.9306983947754,-66.8495025634766
"2019.nc",6498,2019-08-14,"Prince-5",44.9306983947754,-66.8495025634766
"2019.nc",6499,2019-08-14,"Prince-5",44.9306983947754,-66.8495025634766
"2019.nc",7943,2019-09-13,"Prince-5",44.9306983947754,-66.8495025634766
"2019.nc",7944,2019-09-13,"Prince-5",44.9306983947754,-66.8495025634766
"2019.nc",8988,2019-10-15,"Prince-5",44.9306983947754,-66.8495025634766
"2019.nc",8989,2019-10-15,"Prince-5",44.9306983947754,-66.8495025634766
"2019.nc",9910,2019-11-14,"Prince-5",44.9306983947754,-66.8495025634766
"2019.nc",9911,2019-11-14,"Prince-5",44.9306983947754,-66.8495025634766
"2020.nc",2903,2020-07-21,"Prince-5",44.9306983947754,-66.8495025634766
"2020.nc",3893,2020-08-13,"Prince-5",44.9306983947754,-66.8495025634766
"2020.nc",4956,2020-09-17,"Prince-5",44.9306983947754,-66.8495025634766
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766
"2020.nc",6371,2020-11-17,"Prince-5",44.9306983947754,-66.8495025634766
"2021.nc",2774,2021-06-15,"Prince-5",44.9306983947754,-66.8495025634766
"2021.nc",2775,2021-06-15,"Prince-5",44.9306983947754,-66.8495025634766
"2021.nc",3401,2021-07-14,"Prince-5",44.9306983947754,-66.8495025634766
"2021.nc",3402,2021-07-14,"Prince-5",44.9306983947754,-66.8495025634766
"2021.nc",4813,2021-08-18,"Prince-5",44.9306983947754,-66.8495025634766
"2021.nc",4814,2021-08-18,"Prince-5",44.9306983947754,-66.8495025634766
"2021.nc",6057,2021-09-14,"Prince-5",44.9306983947754,-66.8495025634766
"2021.nc",6058,2021-09-14,"Prince-5",44.9306983947754,-66.8495025634766
"2021.nc",7306,2021-10-14,"Prince-5",44.9306983947754,-66.8495025634766
"2021.nc",7307,2021-10-14,"Prince-5",44.9306983947754,-66.8495025634766
"2021.nc",8657,2021-11-16,"Prince-5",44.9306983947754,-66.8495025634766
"2021.nc",8658,2021-11-16,"Prince-5",44.9306983947754,-66.8495025634766
"2022.nc",3729,2022-06-14,"Prince-5",44.9306983947754,-66.8495025634766
"2022.nc",3730,2022-06-14,"Prince-5",44.9306983947754,-66.8495025634766
"2022.nc",4375,2022-07-13,"Prince-5",44.9306983947754,-66.8495025634766
"2022.nc",4376,2022-07-13,"Prince-5",44.9306983947754,-66.8495025634766
"2022.nc",6185,2022-08-26,"Prince-5",44.9306983947754,-66.8495025634766
"2022.nc",6186,2022-08-26,"Prince-5",44.9306983947754,-66.8495025634766
"2022.nc",7666,2022-09-26,"Prince-5",44.9306983947754,-66.8495025634766
"2022.nc",7667,2022-09-26,"Prince-5",44.9306983947754,-66.8495025634766
"2022.nc",8762,2022-10-13,"Prince-5",44.9306983947754,-66.8495025634766
"2022.nc",8763,2022-10-13,"Prince-5",44.9306983947754,-66.8495025634766
"2023.nc",4021,2023-06-23,"Prince-5",44.9331016540527,-66.8424987792969
"2023.nc",4022,2023-06-23,"Prince-5",44.9331016540527,-66.8424987792969
"2023.nc",4555,2023-07-11,"Prince-5",44.9324989318848,-66.8451995849609
"2023.nc",4556,2023-07-11,"Prince-5",44.9324989318848,-66.8451995849609
"2023.nc",6452,2023-08-18,"Prince-5",44.9339981079102,-66.8443984985352
"2023.nc",6453,2023-08-18,"Prince-5",44.9339981079102,-66.8443984985352
"2023.nc",7320,2023-09-12,"Prince-5",44.9360008239746,-66.8433990478516
"2023.nc",7321,2023-09-12,"Prince-5",44.9360008239746,-66.8433990478516
"2023.nc",9007,2023-10-17,"Prince-5",44.9353981018066,-66.8439025878906
"2023.nc",9008,2023-10-17,"Prince-5",44.9353981018066,-66.8439025878906
