"file","cast","date","station_id","latitude","longitude","depth","temperature","salinity"
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,0,8.47222518920898,30.8751754760742
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,1,8.43930053710938,31.0059509277344
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,2,8.42474937438965,31.0043983459473
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,3,8.24845027923584,30.9883995056152
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,4,7.43739986419678,31.0200500488281
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,5,7.29234981536865,31.0518493652344
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,6,7.24779987335205,31.0746002197266
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,7,7.22875022888184,31.0767002105713
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,8,7.13555002212524,31.1184997558594
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,9,7.07550001144409,31.1595993041992
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,10,7.03905010223389,31.1865501403809
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,11,7.01854991912842,31.2033996582031
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,12,7.00444984436035,31.2153491973877
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,13,6.99580001831055,31.2230491638184
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,14,6.98680019378662,31.2297515869141
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,15,6.98285007476807,31.2328987121582
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,16,6.97615003585815,31.2373008728027
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,17,6.97449970245361,31.2396011352539
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,18,6.97375011444092,31.240348815918
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,19,6.97380018234253,31.2408008575439
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,20,6.96915006637573,31.2426490783691
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,21,6.96679973602295,31.2432498931885
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,22,6.96670007705688,31.2435493469238
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,23,6.96490001678467,31.2451992034912
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,24,6.96405029296875,31.2460994720459
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,25,6.9655499458313,31.2453994750977
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,26,6.97154998779297,31.2431488037109
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,27,6.97749996185303,31.2406005859375
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,28,6.97245025634766,31.2437000274658
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,29,6.97704982757568,31.2430000305176
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,30,6.97690010070801,31.2439994812012
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,31,6.97284984588623,31.2447509765625
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,32,6.9707498550415,31.246150970459
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,33,6.97140026092529,31.2460498809814
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,34,6.9719500541687,31.2453994750977
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,35,6.97289991378784,31.2457008361816
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,36,6.97239971160889,31.245849609375
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,37,6.95620012283325,31.2552490234375
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,38,6.93560028076172,31.2679996490479
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,39,6.90095043182373,31.2858009338379
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,40,6.8575496673584,31.3097991943359
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,41,6.78495025634766,31.3318500518799
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,42,6.7219500541687,31.3571510314941
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,43,6.69375038146973,31.3689994812012
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,44,6.69954967498779,31.365650177002
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,45,6.68860006332397,31.3679504394531
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,46,6.66995000839233,31.3753509521484
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,47,6.65165042877197,31.3820991516113
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,48,6.60844993591309,31.4019012451172
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,49,6.61089992523193,31.4002990722656
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,50,6.6119499206543,31.4002990722656
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,51,6.60920000076294,31.4018001556396
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,52,6.60414981842041,31.4041996002197
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,53,6.60510015487671,31.4039497375488
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,54,6.5935001373291,31.4080505371094
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,55,6.58345031738281,31.4125995635986
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,56,6.58240032196045,31.4132499694824
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,57,6.57639980316162,31.4146995544434
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,58,6.56454992294312,31.4207496643066
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,59,6.55964994430542,31.4243011474609
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,60,6.55924987792969,31.4272994995117
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,61,6.55850028991699,31.4289512634277
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,62,6.55070018768311,31.4338493347168
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,63,6.5440502166748,31.4375991821289
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,64,6.5398998260498,31.4410514831543
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,65,6.53574991226196,31.444149017334
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,66,6.53285026550293,31.4458999633789
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,67,6.53110027313232,31.4464988708496
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,68,6.52950000762939,31.4474983215332
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,69,6.51929998397827,31.4531002044678
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,70,6.47499990463257,31.4678001403809
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,71,6.38045024871826,31.5093994140625
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,72,6.27839994430542,31.5587005615234
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,73,6.22525024414062,31.5793991088867
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,74,6.10165023803711,31.6387996673584
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,75,6.00549983978271,31.6935501098633
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,76,5.91965007781982,31.7350997924805
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,77,5.86614990234375,31.7620010375977
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,78,5.84809970855713,31.7730503082275
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,79,5.83160018920898,31.7832489013672
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,80,5.81680011749268,31.7913513183594
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,81,5.81365013122559,31.7945499420166
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,82,5.80949974060059,31.7979011535645
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,83,5.80564975738525,31.8008499145508
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,84,5.80305004119873,31.8035011291504
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,85,5.80175018310547,31.8049011230469
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,86,5.80084991455078,31.8056488037109
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,87,5.79904985427856,31.8072509765625
"2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,88,5.79739999771118,31.8087005615234
