"file","cast","date","station_id","latitude","longitude","instrumentType","depth","temperature","salinity"
"1993.nc",1170,1993-02-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",5,1.3400000333786,31.8490009307861
"1993.nc",1170,1993-02-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",7,1.33000004291534,31.8460006713867
"1993.nc",1170,1993-02-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",9,1.33000004291534,31.8490009307861
"1993.nc",1170,1993-02-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",11,1.33000004291534,31.8479995727539
"1993.nc",1170,1993-02-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",13,1.33000004291534,31.8460006713867
"1993.nc",1170,1993-02-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",15,1.33000004291534,31.8460006713867
"1993.nc",1170,1993-02-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",17,1.33000004291534,31.8509998321533
"1993.nc",1170,1993-02-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",19,1.3400000333786,31.8419990539551
"1993.nc",1170,1993-02-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",21,1.3400000333786,31.8519992828369
"1993.nc",1170,1993-02-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",23,1.35000002384186,31.8479995727539
"1993.nc",1170,1993-02-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",25,1.35000002384186,31.8490009307861
"1993.nc",1170,1993-02-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",27,1.35000002384186,31.8500003814697
"1993.nc",1170,1993-02-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",29,1.35000002384186,31.8519992828369
"1993.nc",1170,1993-02-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",31,1.3400000333786,31.8530006408691
"1993.nc",1170,1993-02-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",33,1.35000002384186,31.8479995727539
"1993.nc",1170,1993-02-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",35,1.35000002384186,31.8490009307861
