Vessel,Difference
BP,129.619736095
Brunswick Provider,-130.87461616021835
Lady Janice,-130.87461616021835
Lady Melissa,-130.87461616021835
LB,134.871022436
Leroy and Barry,-130.87461616021835
LJ,130.617111704
LM,133.50136326
Morning Star,-130.87461616021835
MS,139.367899852
