Vessel,Transect No.,Target Strength (db/kg),Mean Sa (/m2),Biomass Density (kg/m2),Distance
BP,T01,-35.5,-54.15572671,0.0136278495073957,36.289529585
BP,T02,-35.5,-59.9071991,0.00362476695528336,36.55253211
LB,T01,-35.5,-54.98228086,0.0112660562167332,38.279046966
LB,T02,-35.5,-59.65506054,0.00384143904232973,37.80106824
LJ,T01,-35.5,-49.40175805,0.0407215401208438,36.675719374
LJ,T02,-35.5,-62.80662935,0.0018592468955357,36.85939664
LM,T01,-35.5,-57.78726787,0.00590572490231485,38.21744753
LM,T02,-35.5,-62.43497097,0.00202536314512629,37.33482129
MS,T01,-35.5,-46.99654425,0.0708509332243365,39.856441522
MS,T02,-35.5,-50.20841244,0.033818843812599,38.69143873
BP,T03,-35.5,-54.63080655,0.0122157277470883,28.5269414
BP,T04,-35.5,-53.69136538,0.0151657349640873,28.250733
LB,T03,-35.5,-54.77088796,0.0118279969536571,29.34811153
LB,T04,-35.5,-58.85448291,0.00461903984929483,29.4427957
LJ,T03,-35.5,-58.50089233,0.00501084266981107,28.41957449
LJ,T04,-35.5,-51.86160738,0.023112092234566,28.6624212
LM,T03,-35.5,-51.86877306,0.0230739896771836,28.76726204
LM,T04,-35.5,-57.82273225,0.00585769527009066,29.1818324
MS,T03,-35.5,-57.03419179,0.00702394045159833,29.7674879
MS,T04,-35.5,-51.85112016,0.0231679700985132,31.0525317
