Vessel,Transect No.,Target Strength (db/kg),Mean Sa (/m2),Biomass Density (kg/m2),Distance
BP,T01,-35.5,-53.47773327,0.0159303997162365,36.056811289
BP,T02,-35.5,-55.15403026,0.010829214946336,36.16617357
FM,T01,-35.5,-49.57104728,0.0391647421850438,38.264877227
FM,T02,-35.5,-51.2730174,0.0264666064741135,36.92017827
LB,T01,-35.5,-54.42988199,0.012794160690107,38.435098061
LB,T02,-35.5,-52.056002,0.022100382995887,37.94021145
LJ,T01,-35.5,-53.80336765,0.0147796188762189,37.182308519
LJ,T02,-35.5,-57.76443905,0.00593685025681518,36.89474371
LM,T01,-35.5,-53.54948807,0.015669357637165,37.79541806
LM,T02,-35.5,-58.32091493,0.00522286147167353,37.65434881
MS,T01,-35.5,-53.19718621,0.0169934429949588,39.895454733
MS,T02,-35.5,-52.19910699,0.0213840174920519,38.51417982
BP,T03,-35.5,-63.53468427,0.001572286092751,28.4685059
BP,T04,-35.5,-57.10777004,0.00690594310390754,28.3699405
FM,T03,-35.5,-56.53660316,0.00787661619398871,29.62793414
FM,T04,-35.5,-47.36617808,0.0650702075536659,29.042425
LB,T03,-35.5,-57.07481888,0.00695853974282718,29.0623205
LB,T04,-35.5,-50.61339986,0.0308077523126888,28.9838494
LJ,T03,-35.5,-63.03332624,0.001764685738879,28.22849259
LJ,T04,-35.5,-55.42982519,0.0101628959921807,28.8025819
LM,T03,-35.5,-58.53932509,0.00496669499766242,28.76672184
LM,T04,-35.5,-47.98547302,0.0564225484318903,29.0997351
MS,T03,-35.5,-60.62179058,0.00307482881287639,30.0240645
MS,T04,-35.5,-47.45821307,0.0637057588053451,31.0040035
