Vessel,Transect No.,Target Strength (db/kg),Mean Sa (/m2),Biomass Density (kg/m2),Distance
BP,T01,-35.5,-52.34656566,0.020670141,43.90322088
BP,T02,-35.5,-64.90480366,0.001146884,37.91334468
FM,T01,-35.5,-51.0619898,0.0277844,42.24864324
FM,T02,-35.5,-39.46500706,0.401327846,37.1749069
LJ,T01,-35.5,-54.15228488,0.013638654,46.34364898
LJ,T02,-35.5,-50.40593605,0.032315166,40.11442272
LM,T01,-35.5,-52.23370332,0.021214347,42.57357054
LM,T02,-35.5,-53.70710674,0.015110865,36.1414153
LB,T01,-35.5,-65.20538775,0.001070191,14.21790451
LB,T02,-35.5,-61.30198429,0.002629066,15.74285363
LB,T03,-35.5,-60.75971117,0.002978715,16.8055459
LB,T04,-35.5,-58.17777596,0.00539787,18.60688231
C1,T01,-35.5,-62.03841348,0.002219007,13.03534411
C1,T02,-35.5,-65.28991089,0.001049564,13.9803959
C1,T03,-35.5,-62.11994113,0.002177739,15.48469001
C1,T04,-35.5,-61.29154746,0.002635392,18.76743175
