Set_Number,No_jars,TowNo,Lon1,Lat1,Lon2,Lat2,Time1,Time2,TideDirection,Observer,WindDirection,WindSpeed,Swell,AirTemp,FlowReading1,FlowReading2,DiscDepthD,DiscDepthA,CTD_ID,CTD_Lat,CTD_Lon
SB2024-07,1,1,65 13.16,45 03.12,65 12.58,45 06.03,18:37,18:47,with,Tracey,W,16,0.5,21,982880,7845,9,8,10K100766_20240616_221236,,
SB2024-08,1,2,65 12.51,45 03.1,65 12.65,45 03.27,18:53,19:03,against,Tracey,W,16,0.5,21,7845,40725,9,8,10K100766_20240616_221236,,
