Vessel,Transect.No.,Date.Time.Start,Date.Time.End,X,Y,Xend,Yend,Dist..km.,Type,Start.Lat,Start.Lon,End.Lat,End.Lon,Survey,Location,Distance,Start,End,Duration,Speed,Year,Date
BP,T01,2025-07-14T19:25:39Z,2025-07-14T22:12:20Z,-65.24344232,45.05965458,-64.71810152,45.23465162,45.73653095,Actual,NA,NA,NA,NA,6,SB,45.73653095,2025-07-14T19:25:39Z,2025-07-14T22:12:20Z,10001,8.88956087609719,2025,2025-07-14
BP,T02,2025-07-14T22:47:00Z,2025-07-15T01:05:42Z,-64.79799347,45.28799025,-65.21051434,45.14564496,36.09669183,Actual,NA,NA,NA,NA,6,SB,36.09669183,2025-07-14T22:47:00Z,2025-07-15T01:05:42Z,8322,8.431409931125593,2025,2025-07-14
FM,T01,2025-07-14T21:50:25Z,2025-07-14T23:05:08Z,-65.05706954,45.24874495,-64.83363763,45.3167656,19.240207502,Actual,NA,NA,NA,NA,6,SB,19.240207502,2025-07-14T21:50:25Z,2025-07-14T23:05:08Z,4483,8.342602041197342,2025,2025-07-14
FM,T02,2025-07-14T23:12:37Z,2025-07-15T00:17:06Z,-64.851337,45.32432173,-65.04645216,45.2658806,16.72100327,Actual,NA,NA,NA,NA,6,SB,16.72100327,2025-07-14T23:12:37Z,2025-07-15T00:17:06Z,3869,8.400867148192505,2025,2025-07-14
FM,T03,2025-07-15T00:21:29Z,2025-07-15T01:21:16Z,-65.05085688,45.2765385,-64.86762847,45.3322922,15.71221796,Actual,NA,NA,NA,NA,6,SB,15.71221796,2025-07-15T00:21:29Z,2025-07-15T01:21:16Z,3587,8.514646712954113,2025,2025-07-15
FM,T04,2025-07-15T01:29:23Z,2025-07-15T02:28:14Z,-64.88334768,45.33849507,-65.04548022,45.29050128,14.00789728,Actual,NA,NA,NA,NA,6,SB,14.00789728,2025-07-15T01:29:23Z,2025-07-15T02:28:14Z,3531,7.711444647056131,2025,2025-07-15
LB,T01,2025-07-14T19:28:09Z,2025-07-14T22:28:10Z,-65.24149167,45.09159,-64.74490904,45.25945951,43.820684907,Actual,NA,NA,NA,NA,6,SB,43.820684907,2025-07-14T19:28:09Z,2025-07-14T22:28:10Z,10801,7.886343870902961,2025,2025-07-14
LB,T02,2025-07-14T23:19:02Z,2025-07-15T02:14:16Z,-64.81735681,45.31227015,-65.23284473,45.16699676,37.51271153,Actual,NA,NA,NA,NA,6,SB,37.51271153,2025-07-14T23:19:02Z,2025-07-15T02:14:16Z,10514,6.935391780528363,2025,2025-07-14
LJ,T01,2025-07-14T19:51:59Z,2025-07-14T22:42:27Z,-65.23318333,45.07972333,-64.72866567,45.24923613,44.0384905,Actual,NA,NA,NA,NA,6,SB,44.0384905,2025-07-14T19:51:59Z,2025-07-14T22:42:27Z,10228,8.369552148369182,2025,2025-07-14
LJ,T02,2025-07-14T23:24:29Z,2025-07-15T01:57:45Z,-64.80865083,45.30120211,-65.23332241,45.15147748,37.34563192,Actual,NA,NA,NA,NA,6,SB,37.34563192,2025-07-14T23:24:29Z,2025-07-15T01:57:45Z,9196,7.894077115199304,2025,2025-07-14
