Total Returned Tags,Returned Tags,Returned from,Total Tags,All Tags,Notes
,567218,Website,,,
,502001,Website,,,
,556292,Website,,,
,473464,Website,,,
,517984,Website,,,
,510556,Website,,,
,557217,Website,,,
,567458,Website,,,
,498347,Website,,,
,500573,Website,,,
,594122,Website,,,
,590350,Website,,,
,507864,Website,,,
,495950,Website,,,
,453405,Website,,,
,495668,Website,,,
,561231,Website,,,
,564633,Website,,,
,512790,Website,,,
,561649,Website,,,
,559915,Website,,,
,502977,Website,,,
,34171,Connors,,,
,34340,Connors,,,
,34429,Connors,,,
,34493,Connors,,,
,34586,Connors,,,
,34613,Connors,,,
,42041,Sealife,,,
,42335,Sealife,,,
,42425,CapeBreeze,,,
,42553,Scotia Gardens,,,
,42648,Scotia Gardens,,,
,42737,Scotia Gardens,,,
,42739,Comeau Sea Foods,,,
,42749,Scotia Gardens,,,
,42804,Scotia Gardens,,,
,42937,Scotia Gardens,,,
,44089,Connors,,,
,44186,Connors,,,
,44217,Connors,,,
,44358,Connors,,,
,44374,Connors,,,
,44639,Connors,,,
,44790,Connors,,,
,44882,Connors,,,
,44979,Connors,,,
,111573,Connors,,,
,111602,Connors,,,
,111608,Connors,,,
,111612,Connors,,,
,111617,Connors,,,
,111660,Connors,,,
,111829,Connors,,,
,204235,Connors,,,
,204236,Connors,,,
,204314,Connors,,,
,205442,Scotia Gardens,,,
,208065,Scotia Gardens,,,
,208140,Scotia Gardens,,,
,408257,Connors,,,
,414521,Connors,,,
,414703,Connors,,,
,414708,Connors,,,
,414738,Connors,,,
,414789,Connors,,,
,414867,Connors,,,
,415483,Connors,,,
,416008,Comeau Sea Foods,,,
,416345,Connors,,,
,416352,Connors,,,
,416466,Connors,,,
,416516,Connors,,,
,416636,Connors,,,
,416653,Connors,,,
,416691,Connors,,,
,417007,Connors,,,
,417029,Connors,,,
,417050,Connors,,,
,417180,Connors,,,
,417442,Connors,,,
,417451,Connors,,,
,417464,Connors,,,
,417479,Connors,,,
,417500,Connors,,,
,417512,Connors,,,
