Lengthmm,id,Condition,Yolk_sac,Preservative
8.5,SB2017-06,,,
10,SB2017-06,,,
9.375,SB2017-06,,,
8.625,SB2017-06,,,
8.25,SB2017-06,,,
9.375,SB2017-06,,,
8,SB2017-06,,,
8.625,SB2017-06,,,
8,SB2017-06,,,
9,SB2017-06,,,
11.625,SB2017-06,,,
8.5,SB2017-06,,,
8.125,SB2017-06,,,
8.125,SB2017-06,,,
9.5,SB2017-06,,,
9.25,SB2017-06,,,
8.125,SB2017-06,,,
8.875,SB2017-06,,,
10,SB2017-06,,,
8.125,SB2017-06,,,
8.75,SB2017-06,,,
9.5,SB2017-06,,,
9.5,SB2017-06,,,
8.875,SB2017-06,,,
10.125,SB2017-06,,,
8.75,SB2017-06,,,
8.5,SB2017-06,,,
8.75,SB2017-06,,,
10.625,SB2017-06,,,
8.875,SB2017-06,,,
8.625,SB2017-06,,,
8.875,SB2017-06,,,
9,SB2017-06,,,
9.375,SB2017-06,,,
8.75,SB2017-06,,,
9.125,SB2017-06,,,
9.5,SB2017-06,,,
8.25,SB2017-06,,,
8.25,SB2017-06,,,
9.625,SB2017-06,,,
9.125,SB2017-06,,,
10,SB2017-06,,,
8.75,SB2017-06,,,
10.75,SB2017-06,,,
9.5,SB2017-06,,,
8.625,SB2017-06,,,
8.875,SB2017-06,,,
8.875,SB2017-06,,,
9.125,SB2017-06,,,
9.25,SB2017-06,,,
11.625,SB2017-06,,,
8.75,SB2017-06,,,
8.25,SB2017-06,,,
10,SB2017-06,,,
9.125,SB2017-06,,,
8.625,SB2017-06,,,
9.125,SB2017-06,,,
8.875,SB2017-06,,,
8.625,SB2017-06,,,
8.125,SB2017-06,,,
9,SB2017-06,,,
9.375,SB2017-06,,,
9.125,SB2017-06,,,
9.125,SB2017-06,,,
8.875,SB2017-06,,,
8.625,SB2017-06,,,
9.125,SB2017-06,,,
8.5,SB2017-06,,,
9.375,SB2017-06,,,
8.125,SB2017-06,,,
10.5,SB2017-06,,,
9.875,SB2017-06,,,
9,SB2017-06,,,
9.125,SB2017-06,,,
8,SB2017-06,,,
8.25,SB2017-06,,,
8.25,SB2017-06,,,
9.375,SB2017-06,,,
8.875,SB2017-06,,,
9.375,SB2017-06,,,
8.875,SB2017-06,,,
9.375,SB2017-06,,,
9.375,SB2017-06,,,
9.75,SB2017-06,,,
10,SB2017-06,,,
8,SB2017-06,,,
14.375,SB2017-06,,,
14.625,SB2017-06,,,
12.25,SB2017-06,,,
13.5,SB2017-06,,,
12.75,SB2017-06,,,
15.125,SB2017-06,,,
16.625,SB2017-06,,,
14,SB2017-06,,,
15.625,SB2017-06,,,
15,SB2017-06,,,
15.875,SB2017-06,,,
14.375,SB2017-06,,,
15,SB2017-06,,,
15.5,SB2017-06,,,
15.625,SB2017-06,,,
16.25,SB2017-06,,,
15.75,SB2017-06,,,
16.875,SB2017-06,,,
14.25,SB2017-06,,,
15,SB2017-06,,,
12,SB2017-06,,,
12.625,SB2017-06,,,
15.875,SB2017-06,,,
20.375,SB2017-06,,,
24.125,SB2017-06,,,
21.75,SB2017-06,,,
20,SB2017-06,,,
23.125,SB2017-06,,,
21.5,SB2017-06,,,
19,SB2017-06,,,
7.875,SB2017-05,,,
7.5,SB2017-05,,,
7.875,SB2017-05,,,
7.5,SB2017-05,,,
7.125,SB2017-05,,,
7.875,SB2017-05,,,
7.75,SB2017-05,,,
8.375,SB2017-05,,,
10.25,SB2017-05,,,
8.375,SB2017-05,,,
8.375,SB2017-05,,,
8.125,SB2017-05,,,
8.5,SB2017-05,,,
10.25,SB2017-05,,,
21.125,SB2017-05,,,
21.875,SB2017-05,,,
7.875,SB2017-04,,,
7.25,SB2017-04,,,
7.125,SB2017-04,,,
7.5,SB2017-04,,,
6.5,SB2017-04,,,
10.625,SB2017-04,,,
11.75,SB2017-04,,,
8.875,SB2017-04,,,
8.75,SB2017-04,,,
8.375,SB2017-04,,,
8.125,SB2017-04,,,
11.25,SB2017-04,,,
10.875,SB2017-04,,,
10,SB2017-04,,,
8.75,SB2017-04,,,
12.5,SB2017-04,,,
12.5,SB2017-04,,,
12.25,SB2017-04,,,
13.25,SB2017-04,,,
21.5,SB2017-04,,,
22.375,SB2017-04,,,
22,SB2017-04,,,
17.125,SB2017-04,,,
19.375,SB2017-04,,,
20.875,SB2017-04,,,
7,SB2017-03,,,
6.875,SB2017-03,,,
6.625,SB2017-03,,,
7.75,SB2017-03,,,
11.375,SB2017-03,,,
10,SB2017-03,,,
15.75,SB2017-03,,,
16.625,SB2017-03,,,
21.5,SB2017-03,,,
21.625,SB2017-03,,,
18.375,SB2017-03,,,
17.375,SB2017-03,,,
20.625,SB2017-03,,,
20.25,SB2017-03,,,
17.75,SB2017-03,,,
19,SB2017-03,,,
22.75,SB2017-03,,,
17.625,SB2017-03,,,
23.25,SB2017-03,,,
17.375,SB2017-03,,,
21,SB2017-03,,,
26.125,SB2017-03,,,
28.125,SB2017-03,,,
29.375,SB2017-03,,,
27,SB2017-03,,,
7.5,SB2017-02,,,
7.375,SB2017-02,,,
8.875,SB2017-02,,,
8.875,SB2017-02,,,
11.5,SB2017-02,,,
8.125,SB2017-02,,,
11.125,SB2017-02,,,
11.25,SB2017-02,,,
8.75,SB2017-02,,,
8.75,SB2017-02,,,
10,SB2017-02,,,
11.25,SB2017-02,,,
8.75,SB2017-02,,,
11.375,SB2017-02,,,
9,SB2017-02,,,
8.75,SB2017-02,,,
10,SB2017-02,,,
8.875,SB2017-02,,,
8.625,SB2017-02,,,
12.625,SB2017-02,,,
13.5,SB2017-02,,,
7.625,SB2017-01,,,
6.875,SB2017-01,,,
7,SB2017-01,,,
6.5,SB2017-01,,,
6.875,SB2017-01,,,
6.375,SB2017-01,,,
7.75,SB2017-01,,,
7.125,SB2017-01,,,
7.375,SB2017-01,,,
6.875,SB2017-01,,,
6.875,SB2017-01,,,
7.5,SB2017-01,,,
6.25,SB2017-01,,,
6.875,SB2017-01,,,
7.5,SB2017-01,,,
6.875,SB2017-01,,,
7.125,SB2017-01,,,
7.625,SB2017-01,,,
7.375,SB2017-01,,,
7,SB2017-01,,,
5.625,SB2017-01,,,
6.375,SB2017-01,,,
7.125,SB2017-01,,,
6.875,SB2017-01,,,
7.75,SB2017-01,,,
7.5,SB2017-01,,,
7,SB2017-01,,,
7.375,SB2017-01,,,
7.625,SB2017-01,,,
7.625,SB2017-01,,,
7.125,SB2017-01,,,
6.25,SB2017-01,,,
5.875,SB2017-01,,,
7.75,SB2017-01,,,
7.625,SB2017-01,,,
7.5,SB2017-01,,,
7.5,SB2017-01,,,
7.125,SB2017-01,,,
7.875,SB2017-01,,,
7.125,SB2017-01,,,
7.5,SB2017-01,,,
6.875,SB2017-01,,,
7,SB2017-01,,,
7.625,SB2017-01,,,
7.125,SB2017-01,,,
6.75,SB2017-01,,,
7.625,SB2017-01,,,
7.5,SB2017-01,,,
6.5,SB2017-01,,,
7.75,SB2017-01,,,
7.75,SB2017-01,,,
6.5,SB2017-01,,,
7.875,SB2017-01,,,
6.625,SB2017-01,,,
7.625,SB2017-01,,,
6.875,SB2017-01,,,
7.5,SB2017-01,,,
7.125,SB2017-01,,,
7.75,SB2017-01,,,
7.625,SB2017-01,,,
7.75,SB2017-01,,,
7.625,SB2017-01,,,
7.375,SB2017-01,,,
7.375,SB2017-01,,,
6.75,SB2017-01,,,
7.875,SB2017-01,,,
7.5,SB2017-01,,,
7.375,SB2017-01,,,
7.75,SB2017-01,,,
7.5,SB2017-01,,,
7,SB2017-01,,,
7.5,SB2017-01,,,
7.125,SB2017-01,,,
7,SB2017-01,,,
6.25,SB2017-01,,,
7.625,SB2017-01,,,
7.25,SB2017-01,,,
7.5,SB2017-01,,,
3.75,SB2017-01,,,
7,SB2017-01,,,
7.5,SB2017-01,,,
7.75,SB2017-01,,,
7.75,SB2017-01,,,
6.75,SB2017-01,,,
7.75,SB2017-01,,,
7.125,SB2017-01,,,
6.375,SB2017-01,,,
7.25,SB2017-01,,,
7.625,SB2017-01,,,
7.875,SB2017-01,,,
7.875,SB2017-01,,,
6.75,SB2017-01,,,
6.25,SB2017-01,,,
7.875,SB2017-01,,,
7.875,SB2017-01,,,
7.5,SB2017-01,,,
6.625,SB2017-01,,,
6.5,SB2017-01,,,
7.875,SB2017-01,,,
7,SB2017-01,,,
6.25,SB2017-01,,,
5.875,SB2017-01,,,
6.625,SB2017-01,,,
7.375,SB2017-01,,,
6,SB2017-01,,,
6.125,SB2017-01,,,
7.875,SB2017-01,,,
5,SB2017-01,,,
7.25,SB2017-01,,,
7.25,SB2017-01,,,
6.625,SB2017-01,,,
7.375,SB2017-01,,,
7.125,SB2017-01,,,
7.875,SB2017-01,,,
5.75,SB2017-01,,,
7.25,SB2017-01,,,
7.125,SB2017-01,,,
7.125,SB2017-01,,,
7.75,SB2017-01,,,
7.625,SB2017-01,,,
7,SB2017-01,,,
7.375,SB2017-01,,,
7.125,SB2017-01,,,
7.5,SB2017-01,,,
7,SB2017-01,,,
6,SB2017-01,,,
7.875,SB2017-01,,,
7,SB2017-01,,,
7.375,SB2017-01,,,
6.75,SB2017-01,,,
7.125,SB2017-01,,,
7.125,SB2017-01,,,
6.25,SB2017-01,,,
7.375,SB2017-01,,,
7.5,SB2017-01,,,
7.375,SB2017-01,,,
7.375,SB2017-01,,,
7.875,SB2017-01,,,
7,SB2017-01,,,
7.25,SB2017-01,,,
7.125,SB2017-01,,,
6.875,SB2017-01,,,
6.5,SB2017-01,,,
7.5,SB2017-01,,,
6.125,SB2017-01,,,
7.625,SB2017-01,,,
7.5,SB2017-01,,,
7.125,SB2017-01,,,
7,SB2017-01,,,
6.875,SB2017-01,,,
7.375,SB2017-01,,,
7.625,SB2017-01,,,
7.125,SB2017-01,,,
7.125,SB2017-01,,,
7.875,SB2017-01,,,
6.625,SB2017-01,,,
6.625,SB2017-01,,,
5.875,SB2017-01,,,
4.875,SB2017-01,,,
6.875,SB2017-01,,,
7.375,SB2017-01,,,
7.625,SB2017-01,,,
6.875,SB2017-01,,,
7.875,SB2017-01,,,
7.125,SB2017-01,,,
6.875,SB2017-01,,,
6.25,SB2017-01,,,
6.25,SB2017-01,,,
6.5,SB2017-01,,,
7.125,SB2017-01,,,
7,SB2017-01,,,
6.625,SB2017-01,,,
6.875,SB2017-01,,,
4.125,SB2017-01,,,
8.25,SB2017-01,,,
11.25,SB2017-01,,,
8.875,SB2017-01,,,
8,SB2017-01,,,
10.875,SB2017-01,,,
10.25,SB2017-01,,,
11.875,SB2017-01,,,
8.125,SB2017-01,,,
9.125,SB2017-01,,,
9.5,SB2017-01,,,
11.625,SB2017-01,,,
11.25,SB2017-01,,,
9,SB2017-01,,,
10.875,SB2017-01,,,
11.625,SB2017-01,,,
8.875,SB2017-01,,,
9.75,SB2017-01,,,
8.125,SB2017-01,,,
11.5,SB2017-01,,,
9.875,SB2017-01,,,
9,SB2017-01,,,
10.375,SB2017-01,,,
9.25,SB2017-01,,,
11.375,SB2017-01,,,
10.125,SB2017-01,,,
11.375,SB2017-01,,,
8.125,SB2017-01,,,
10.625,SB2017-01,,,
10.875,SB2017-01,,,
10.625,SB2017-01,,,
9.625,SB2017-01,,,
10.25,SB2017-01,,,
8.5,SB2017-01,,,
10.625,SB2017-01,,,
8,SB2017-01,,,
8.25,SB2017-01,,,
8.125,SB2017-01,,,
8.875,SB2017-01,,,
8.125,SB2017-01,,,
11.625,SB2017-01,,,
11.875,SB2017-01,,,
8.5,SB2017-01,,,
9.25,SB2017-01,,,
8.125,SB2017-01,,,
8.375,SB2017-01,,,
9.625,SB2017-01,,,
10.375,SB2017-01,,,
8.125,SB2017-01,,,
11.5,SB2017-01,,,
8.375,SB2017-01,,,
8.125,SB2017-01,,,
8.25,SB2017-01,,,
8,SB2017-01,,,
11.5,SB2017-01,,,
10.75,SB2017-01,,,
8.25,SB2017-01,,,
8.375,SB2017-01,,,
8.125,SB2017-01,,,
8.5,SB2017-01,,,
9.375,SB2017-01,,,
8.5,SB2017-01,,,
11.125,SB2017-01,,,
9.875,SB2017-01,,,
8.25,SB2017-01,,,
10.25,SB2017-01,,,
8.75,SB2017-01,,,
11.5,SB2017-01,,,
8.875,SB2017-01,,,
11.5,SB2017-01,,,
8.125,SB2017-01,,,
11.25,SB2017-01,,,
8,SB2017-01,,,
8,SB2017-01,,,
8.625,SB2017-01,,,
9.75,SB2017-01,,,
8.25,SB2017-01,,,
8.125,SB2017-01,,,
8.25,SB2017-01,,,
8.125,SB2017-01,,,
8.125,SB2017-01,,,
8,SB2017-01,,,
8.125,SB2017-01,,,
8.5,SB2017-01,,,
8.375,SB2017-01,,,
13.75,SB2017-01,,,
13.125,SB2017-01,,,
12.5,SB2017-01,,,
12.625,SB2017-01,,,
12.125,SB2017-01,,,
12,SB2017-01,,,
13.5,SB2017-01,,,
12.5,SB2017-01,,,
13,SB2017-01,,,
12,SB2017-01,,,
12.375,SB2017-01,,,
12.5,SB2017-01,,,
12.625,SB2017-01,,,
12.25,SB2017-01,,,
12.375,SB2017-01,,,
12.5,SB2017-01,,,
12.25,SB2017-01,,,
7.96,GB2021-10,,,4% formalin
6.78,GB2021-10,,,4% formalin
10.38,GB2021-10,,,4% formalin
7.29,GB2021-10,,,4% formalin
7.16,GB2021-10,,,4% formalin
9.67,GB2021-10,,,4% formalin
5.8,GB2021-10,,,4% formalin
7.56,GB2021-10,,,4% formalin
10.17,GB2021-09,,,4% formalin
8.4,GB2021-09,,,4% formalin
8.51,GB2021-09,,,4% formalin
8.04,GB2021-09,,,4% formalin
9.52,GB2021-09,,,4% formalin
9.58,GB2021-09,,,4% formalin
9.39,GB2021-09,,,4% formalin
10.74,GB2021-09,,,4% formalin
8.82,GB2021-09,,,4% formalin
7.17,GB2021-09,,,4% formalin
9.56,GB2021-09,,,4% formalin
9.6,GB2021-09,,,4% formalin
9.62,GB2021-09,,,4% formalin
6.16,GB2021-09,,,4% formalin
6.98,GB2021-09,,,4% formalin
8.67,GB2021-09,,,4% formalin
7.11,GB2021-09,,,4% formalin
10.32,GB2021-09,,,4% formalin
8.61,GB2021-09,,,4% formalin
7.18,GB2021-09,,,4% formalin
8.11,GB2021-09,,,4% formalin
9.02,GB2021-07,,,4% formalin
8.43,GB2021-07,,,4% formalin
9.03,GB2021-07,,,4% formalin
8.33,GB2021-07,,,4% formalin
