Target Strength,Area (km2),Mean Sa,Density (kg/m2),Biomass (tons),Standard Error (tons),Standard Error (%),Layer,Turnover
-35.5,796,-52.3963640284377,0.02042245982477,16265.8463249527,5425.41791301468,33.3546610771294,German Bank,11620.590378
-35.5,272,-52.336198831099,0.0206446327171482,5635.71497858142,3040.76354329418,53.9552400156969,Seal Island,11620.590378
NA,NA,NA,NA,NA,NA,NA,School Survey,11620.590378
