Vessel,Transect No.,Date Time Start,Date Time End,Start Lon,Start Lat,End Lon,End Lat,Dist (km)
BP,T01,2023-09-13 21:15:17,2023-09-13 23:36:39,-66.48014594,43.56352049,-66.47935756,43.23821416,36.22478233
BP,T02,2023-09-14 00:18:30,2023-09-14 02:37:54,-66.34589178,43.23817691,-66.34291423,43.56495535,36.34490262
C1,T01,2023-09-13 20:23:38,2023-09-13 22:46:42,-66.45145466,43.56908335,-66.44835709,43.23929311,39.550423486
C1,T02,2023-09-13 23:28:28,2023-09-14 01:45:32,-66.31443848,43.23536819,-66.31401167,43.56437514,38.24562553
FM,T01,2023-09-13 21:23:15,2023-09-13 23:47:50,-66.40422555,43.56551561,-66.40390941,43.23372845,38.210804813
FM,T02,2023-09-14 00:29:49,2023-09-14 02:51:19,-66.27178752,43.23490371,-66.2697168,43.56796041,37.98560317
LB,T01,2023-09-13 20:18:48,2023-09-13 23:05:35,-66.38947494,43.56585096,-66.38914245,43.23642594,38.261338622
LB,T02,2023-09-13 23:56:29,2023-09-14 02:11:19,-66.25541833,43.2364593,-66.25503423,43.56595748,37.51174449
LJ,T01,2023-09-13 20:22:52,2023-09-13 22:47:34,-66.46356667,43.56653528,-66.46341029,43.23295906,37.17778119
LJ,T02,2023-09-13 23:29:52,2023-09-14 01:50:44,-66.32956377,43.23334372,-66.32946393,43.56380299,36.87036772
LM,T01,2023-09-13 20:11:22,2023-09-13 22:37:56,-66.37302208,43.56657412,-66.3751651,43.23346114,37.833690388
LM,T02,2023-09-13 23:18:27,2023-09-14 01:44:44,-66.24119347,43.22938378,-66.23891099,43.5670342,38.22324472
MS,T01,2023-09-13 20:23:30,2023-09-13 23:05:49,-66.49327333,43.56062382,-66.49329601,43.23269924,39.092793484
MS,T02,2023-09-13 23:53:50,2023-09-14 02:06:23,-66.35809405,43.23365319,-66.35919694,43.56692715,38.34398115
SL,T01,2023-09-13 21:20:01,2023-09-13 23:47:00,-66.41927408,43.56395015,-66.41804656,43.23721932,39.68368565
SL,T02,2023-09-14 00:29:27,2023-09-14 02:48:08,-66.28434737,43.23643134,-66.28496378,43.56620494,38.60767492
TM,T01,2023-09-13 20:11:45,2023-09-13 22:53:05,-66.435,43.56986269,-66.43364348,43.23373697,37.479735902
TM,T02,2023-09-13 23:37:51,2023-09-14 01:55:47,-66.2999821,43.23767036,-66.29988333,43.56646479,36.57925123
BP,T03,2023-09-14 03:16:07,2023-09-14 05:11:29,-66.21576667,43.50542519,-66.21776354,43.24282138,29.2353818
C1,T03,2023-09-14 02:20:59,2023-09-14 04:08:37,-66.19125136,43.50030534,-66.18751646,43.24984793,29.7531267
FM,T03,2023-09-14 03:27:12,2023-09-14 05:13:28,-66.15082514,43.5005376,-66.15102163,43.24597803,29.1933564
LB,T03,2023-09-14 02:49:17,2023-09-14 04:34:02,-66.13820007,43.50175847,-66.13832469,43.24737453,29.0773035
LJ,T03,2023-09-14 02:30:24,2023-09-14 04:17:40,-66.2033,43.50317478,-66.20391595,43.24645356,28.6552319
LM,T03,2023-09-14 02:16:46,2023-09-14 04:08:21,-66.12644465,43.50512011,-66.12457819,43.24641743,29.55025088
MS,T03,2023-09-14 02:53:45,2023-09-14 04:37:19,-66.22875954,43.50098658,-66.22994042,43.24479976,29.7268547
SL,T03,2023-09-14 03:23:06,2023-09-14 05:09:50,-66.16354862,43.50090799,-66.1645345,43.2470457,30.0557366
TM,T03,2023-09-14 02:33:07,2023-09-14 04:24:02,-66.17726214,43.50480929,-66.17826684,43.2452607,28.87043495
