Vessel,Transect No.,Target Strength (db/kg),Mean Sa (/m2),Biomass Density (kg/m2),Distance
BP,T01,-35.5,-47.40559308,0.0644823255684383,36.22478233
BP,T02,-35.5,-56.32964329,0.00826105799414205,36.34490262
C1,T01,-35.5,-58.3220915,0.00522144671047868,39.550423486
C1,T02,-35.5,-56.99178197,0.0070928667816753,38.24562553
FM,T01,-35.5,-49.691623,0.0380923442058646,38.210804813
FM,T02,-35.5,-59.54005599,0.00394452216695911,37.98560317
LB,T01,-35.5,-49.4620504,0.0401601161321052,38.261338622
LB,T02,-35.5,-61.53784253,0.00249009402959133,37.51174449
LJ,T01,-35.5,-58.65244184,0.00483900216037877,37.17778119
LJ,T02,-35.5,-49.92593498,0.0360916304596916,36.87036772
LM,T01,-35.5,-57.63843787,0.006111618164448,37.833690388
LM,T02,-35.5,-62.71493259,0.00189892031639368,38.22324472
MS,T01,-35.5,-44.99034565,0.112451547150788,39.092793484
MS,T02,-35.5,-58.12465909,0.00546429441504354,38.34398115
SL,T01,-35.5,-56.33615021,0.00824868993590265,39.68368565
SL,T02,-35.5,-62.29744739,0.00209052449686719,38.60767492
TM,T01,-35.5,-56.10862192,0.00869236206909565,37.479735902
TM,T02,-35.5,-54.71872686,0.0119709140879952,36.57925123
BP,T03,-35.5,-52.96812321,0.0179137982596907,29.2353818
C1,T03,-35.5,-60.11549293,0.00345502112404055,29.7531267
FM,T03,-35.5,-58.08238046,0.00551774916865274,29.1933564
LB,T03,-35.5,-55.02836371,0.0111471444510461,29.0773035
LJ,T03,-35.5,-58.37468823,0.00515859196085965,28.6552319
LM,T03,-35.5,-45.13879831,0.10867262784724,29.55025088
MS,T03,-35.5,-62.08078249,0.00219746390909658,29.7268547
SL,T03,-35.5,-53.25044384,0.0167863245658244,30.0557366
TM,T03,-35.5,-53.75272446,0.0149529731678831,28.87043495
