Set_Number,No_jars,Tow_No,Lon1,Lat1,Lon2,Lat2,Time1,Time2,TideDirection,Speed,Heading,Observers,WindDirection,WindSpeed,Swell,AirTemp,FlowReading1,FlowReading2,DiscDepthD,DiscDepthA,CTD_ID,CTD_Lat,CTD_Lon
GB2023-07,1,1,66 21.50,43 34.15,66 21.57,43 34.49,19:41,19:51,with,4.7,180,Darren,SE,11,0.5,18,213098,265770,6,5,,43.5673,-66.3595
GB2023-08,1,2,66 21.14,43 33.66,66 21.17,43 34.66,19:57,20:07,against,5.6,0,Darren,SE,11,0.5,18,265770,320580,6,5,,43.5673,-66.3595
