Vessel,Transect.No.,Speed,Transect
BP,T01,,T01
BP,T02,,T02
BP,T03,,T03
BP,T04,,T04
C1,T01,,T01
C1,T02,,T02
FM,T01,,T01
FM,T02,,T02
LB,T01,,T01
LB,T02,,T02
LJ,T01,,T01
LJ,T02,,T02
LM,T01,,T01
LM,T02,,T02
MS,T01,,T01
MS,T02,,T02
MS,T03,,T03
MS,T04,,T04
SL,T01,,T01
SL,T02,,T02
