Vessel,Transect No.,Date Time Start,Date Time End,Start Lon,Start Lat,End Lon,End Lat,Dist (km)
BP,T01,2023-10-24 19:49:29,2023-10-24 22:11:35,-66.39169055,43.56474221,-66.39187736,43.23077159,37.151440728
BP,T02,2023-10-24 22:42:32,2023-10-25 01:04:06,-66.25804029,43.23151692,-66.25693763,43.56631519,37.34074252
C1,T01,2023-10-24 19:03:48,2023-10-24 21:29:56,-66.49093936,43.56485643,-66.49162588,43.2358969,39.279113393
C1,T02,2023-10-24 22:00:38,2023-10-25 00:25:15,-66.35914972,43.23411385,-66.35934296,43.56622836,40.42432553
FM,T01,2023-10-24 20:10:42,2023-10-24 22:23:03,-66.4257241,43.55626219,-66.42544833,43.23516917,36.699533103
FM,T02,2023-10-24 22:55:21,2023-10-25 01:13:36,-66.29078993,43.23446327,-66.29078667,43.56539576,38.20458808
LB,T01,2023-10-24 18:55:13,2023-10-24 21:25:49,-66.47689113,43.56621993,-66.47655784,43.23452446,38.190209183
LB,T02,2023-10-24 22:02:16,2023-10-25 00:37:47,-66.34312446,43.22890891,-66.34145077,43.56523275,38.96303293
LJ,T01,2023-10-24 19:15:53,2023-10-24 21:40:03,-66.37548171,43.5661703,-66.37506659,43.23385799,36.959621
LJ,T02,2023-10-24 22:12:57,2023-10-25 00:28:29,-66.24043605,43.23301277,-66.23996343,43.56270481,36.69460187
LM,T01,2023-10-24 18:53:25,2023-10-24 21:19:43,-66.45957756,43.56629959,-66.4582154,43.23316983,37.70568917
LM,T02,2023-10-24 21:51:23,2023-10-25 00:14:16,-66.32459801,43.23248772,-66.32459263,43.56625582,37.83908411
MS,T01,2023-10-24 19:04:11,2023-10-24 21:21:01,-66.442638,43.55789604,-66.4426437,43.2387693,37.857947782
MS,T02,2023-10-24 21:57:48,2023-10-25 00:17:48,-66.30707952,43.2391243,-66.306795,43.56495429,40.077521
SL,T01,2023-10-24 19:50:17,2023-10-24 22:23:13,-66.40923333,43.57292198,-66.40879365,43.23414563,40.37817245
SL,T02,2023-10-24 22:54:32,2023-10-25 01:14:35,-66.27474125,43.23359524,-66.27386202,43.56670741,40.65363863
C1,T03,2023-10-25 01:00:38,2023-10-25 02:49:55,-66.2299637,43.50082208,-66.23080756,43.24807294,30.3562153
FM,T03,2023-10-25 01:49:30,2023-10-25 03:30:26,-66.16897792,43.50046331,-66.17009319,43.26186981,27.4725784
LB,T03,2023-10-25 01:18:37,2023-10-25 03:03:04,-66.21655075,43.50197034,-66.21514187,43.24953098,29.0692752
LJ,T03,2023-10-25 01:04:01,2023-10-25 02:47:03,-66.12601829,43.50164481,-66.12503156,43.24949442,28.0581686
LM,T03,2023-10-25 00:51:58,2023-10-25 02:51:48,-66.20006253,43.50374398,-66.20188055,43.2330057,30.80617792
MS,T03,2023-10-25 00:55:15,2023-10-25 02:43:35,-66.18437284,43.50623436,-66.18582268,43.25018935,30.8336706
MS,T04,2023-10-25 03:02:46,2023-10-25 04:22:34,-66.14066,43.27266053,-66.14106897,43.48610516,25.8710938
SL,T03,2023-10-25 01:50:04,2023-10-25 03:44:30,-66.15450625,43.50073773,-66.15472474,43.24213012,31.3994767
