Year,DFO_Turnover_Adjusted,RollingPeakBiomassAvg
1999,24335,24335
2000,91816,58076
2001,98923,71691
2002,67749,86163
2003,71589,79420
2004,61042,66793
2005,12404,48345
2006,21886,31777
2007,30760,21683
2008,13509,22052
2009,44725,29665
2010,21808,26681
2011,37706,34746
2012,59795,39770
2013,13625,37042
2014,101274,58231
2015,82428,65776
2016,37853,73852
2017,75364,65215
2018,77909,63709
2019,50468,67914
2020,40641,56339
2021,36544,42551
2022,100407,59197
