Year,DFO_Turnover_Adjusted,RollingPeakBiomassAvg
1999,208259,208259
2000,112849,160554
2001,99932,140347
2002,133642,115474
2003,107204,113593
2004,145400,128749
2005,110942,121182
2006,114069,123470
2007,190288,138433
2008,106207,136855
2009,96977,131157
2010,85180,96121
2011,117625,99927
2012,101453,101419
2013,108500,109193
2014,63342,91098
2015,61324,77722
2016,80119,68262
2017,60745,67396
2018,37490,59451
2019,65077,54437
2020,56738,53102
2021,71574,64463
2022,22081,50131
