Vessel,Transect.No.,Date.Time.Start,Date.Time.End,X,Y,Xend,Yend,Dist..km.,Type,Start.Lat,Start.Lon,End.Lat,End.Lon,Survey,Location,Distance,Start,End,Duration,Speed,Year,Date
BP,T01,2026-05-24T19:14:44Z,2026-05-24T21:42:21Z,-65.22709427,45.16922024,-64.81815359,45.31430764,36.544180646,Actual,NA,NA,NA,NA,2,SB,36.544180646,2026-05-24T19:14:44Z,2026-05-24T21:42:21Z,8857,8.020327436707761,2026,2026-05-24
FM,T01,2026-05-24T20:30:40Z,2026-05-24T23:21:19Z,-65.2349009,45.12129328,-64.77889859,45.27814306,40.378107159,Actual,NA,NA,NA,NA,2,SB,40.378107159,2026-05-24T20:30:40Z,2026-05-24T23:21:19Z,10239,7.665648971574426,2026,2026-05-24
FM,T02,2026-05-24T23:26:17Z,2026-05-25T02:02:59Z,-64.79166503,45.28904558,-65.23569047,45.1350855,39.2407881,Actual,NA,NA,NA,NA,2,SB,39.2407881,2026-05-24T23:26:17Z,2026-05-25T02:02:59Z,9402,8.112934858573071,2026,2026-05-24
FM,T03,2026-05-25T02:09:36Z,2026-05-25T04:39:17Z,-65.23567082,45.15061751,-64.80844156,45.29994152,37.80900016,Actual,NA,NA,NA,NA,2,SB,37.80900016,2026-05-25T02:09:36Z,2026-05-25T04:39:17Z,8981,8.183347831089456,2026,2026-05-25
LM,T01,2026-05-24T19:24:25Z,2026-05-24T22:16:05Z,-65.23261386,45.09133512,-64.74553573,45.25421835,42.769946542,Actual,NA,NA,NA,NA,2,SB,42.769946542,2026-05-24T19:24:25Z,2026-05-24T22:16:05Z,10300,8.071643969534104,2026,2026-05-24
LM,T04,2026-05-25T00:26:44Z,2026-05-25T03:06:11Z,-64.75477626,45.27030203,-65.23429025,45.10561388,42.1231338,Actual,NA,NA,NA,NA,2,SB,42.1231338,2026-05-25T00:26:44Z,2026-05-25T03:06:11Z,9567,8.558652911653809,2026,2026-05-25
BP,T02,2026-05-24T21:44:23Z,2026-05-24T22:55:29Z,-64.82139926,45.31923543,-65.04532811,45.25177758,19.1328127,Actual,NA,NA,NA,NA,2,SB,19.1328127,2026-05-24T21:44:23Z,2026-05-24T22:55:29Z,4266,8.718032498539147,2026,2026-05-24
BP,T03,2026-05-24T23:00:30Z,2026-05-25T00:07:36Z,-65.0483436,45.2631992,-64.84539128,45.32602955,17.41432287,Actual,NA,NA,NA,NA,2,SB,17.41432287,2026-05-24T23:00:30Z,2026-05-25T00:07:36Z,4025.9999999999995,8.408012262200895,2026,2026-05-24
BP,T04,2026-05-25T00:12:29Z,2026-05-25T01:10:14Z,-64.8564262,45.33510833,-65.0463612,45.27756914,16.23140537,Actual,NA,NA,NA,NA,2,SB,16.23140537,2026-05-25T00:12:29Z,2026-05-25T01:10:14Z,3465,9.105701302863146,2026,2026-05-25
BP,T05,2026-05-25T01:13:35Z,2026-05-25T02:00:48Z,-65.05043447,45.28501047,-64.88456187,45.33738413,14.29739977,Actual,NA,NA,NA,NA,2,SB,14.29739977,2026-05-25T01:13:35Z,2026-05-25T02:00:48Z,2833,9.810045029621179,2026,2026-05-25
