Vessel,Transect No.,Target Strength (db/kg),Mean Sa (/m2),Biomass Density (kg/m2),Distance
BP,T01,-35.5,-38.73672538,0.474599702886314,36.544180646
FM,T01,-35.5,-57.70349322,0.0060207511597603,40.378107159
FM,T02,-35.5,-46.25830551,0.0839787583149887,39.2407881
FM,T03,-35.5,-44.10815679,0.137779410101172,37.80900016
LM,T01,-35.5,-47.39293228,0.0646705823903812,42.769946542
LM,T04,-35.5,-52.4188262,0.020329063854211,42.1231338
BP,T02,-35.5,-39.68239572,0.381733635146666,19.1328127
BP,T03,-35.5,-41.72655675,0.238420901078892,17.41432287
BP,T04,-35.5,-50.37650576,0.0325348960883728,16.23140537
BP,T05,-35.5,-52.06366748,0.0220614092969562,14.29739977
LM,T02,-35.5,-57.71693425,0.00600214627265952,16.83110275
LM,T03,-35.5,-62.87326632,0.00183093686050192,17.44106557
