Vessel,Transect No.,Target Strength (db/kg),Mean Sa (/m2),Biomass Density (kg/m2),Distance
FM,T01,-35.5,-52.68994483,0.0190987752027757,36.547085337
FM,T02,-35.5,-46.98577642,0.0710268178816063,37.37232075
LB,T01,-35.5,-44.77985712,0.118035946805546,38.329590655
LB,T02,-35.5,-53.3856276,0.0162718615358869,37.91220815
LJ,T01,-35.5,-45.92241561,0.0907315727404394,37.332525503
LJ,T02,-35.5,-60.20374644,0.00338551978374741,37.16958125
LM,T01,-35.5,-52.17959138,0.0214803256920987,38.45029449
LM,T02,-35.5,-59.60699175,0.00388419321246307,37.84741838
MS,T01,-35.5,-48.80665785,0.0467018640214234,38.299169024
MS,T02,-35.5,-50.39897664,0.032366991666527,38.88467577
FM,T03,-35.5,-59.79133327,0.00372277400752902,28.88867957
FM,T04,-35.5,-50.81090049,0.0294381118455608,28.5045028
LB,T03,-35.5,-53.64328829,0.0153345547696315,28.45260721
LB,T04,-35.5,-50.47061593,0.0318374596090897,28.7703405
LJ,T03,-35.5,-58.93954672,0.00452944852005187,28.39111275
LJ,T04,-35.5,-50.61960947,0.0307637343858772,28.3949686
LM,T03,-35.5,-59.53092585,0.00395282342881785,28.78500385
LM,T04,-35.5,-48.40698995,0.0512036599839817,30.1872631
MS,T03,-35.5,-56.89837369,0.00724707291652109,29.8333652
MS,T04,-35.5,-48.34140538,0.0519827752686447,24.9365892
