Set_Number,Tow_No,No_jars,Lon1,Lat1,Lon2,Lat2,Time1,Time2,TideDirection,Observer,WindDirection,WindSpeed,Swell,AirTemp,FlowReading1,FlowReading2,DiscDepthD,DiscDepthA,CTD_ID,CTD_Lat,CTD_Lon,TowReplicate,TowID
GB2024-01,1,1,66 21.51,43 34.16,66 21.89,43 33.86,19:12,19:22,against,Tracey,S,8,2,20,236916,263486,7,6,10K100766_20240804_224328,43.5619,-66.3626,TRUE,96
GB2024-02,2,1,66 21.59,43 33.92,66 21.79,43 33.60,19:27,19:37,against,Tracey,S,8,2,20,263486,293230,7,6,10K100766_20240804_224328,43.5619,-66.3626,TRUE,96
