Vessel,Transect No.,Target Strength (db/kg),Mean Sa (/m2),Biomass Density (kg/m2),Distance
C1,T01,-35.5,-45.77052222,0.0939610319765982,40.904821435
C1,T02,-35.5,-53.18835157,0.0170280471087806,40.78248367
FM,T01,-35.5,-47.66074191,0.0608031121786373,39.226780948
FM,T02,-35.5,-54.6753134,0.0120911792619765,38.65760955
LB,T01,-35.5,-55.33175407,0.0103950023775609,38.992762936
LB,T02,-35.5,-61.55731641,0.00247895337793393,37.81959711
LJ,T01,-35.5,-49.46734992,0.0401111402535735,37.111670813
LJ,T02,-35.5,-57.1437687,0.00684893634762981,37.1052371
LM,T01,-35.5,-42.75804675,0.188016223421457,38.137861228
LM,T02,-35.5,-42.52280827,0.198481106777754,38.17943548
MS,T01,-35.5,-42.97365601,0.178909910724159,41.46941611
MS,T02,-35.5,-51.85543407,0.0231449684440362,39.7368936
C1,T03,-35.5,-47.93781747,0.0570450878124887,30.7246149
FM,T03,-35.5,-43.09695156,0.173902107019338,29.6380058
LB,T03,-35.5,-37.76282422,0.59390581564963,29.0781977
LJ,T03,-35.5,-38.67465456,0.481431545782854,28.22081023
LM,T03,-35.5,-41.93537234,0.227228481382313,28.6742929
MS,T03,-35.5,-42.63355781,0.193483626564218,30.0208855
