Target Strength,Area (km2),Mean Sa,Density (kg/m2),Biomass (tons),Standard Error (tons),Standard Error (%),Layer
-35.5,803.4513,-53.67423427,0.015116226,12233,3064.513374,25.05101863,German Bank
-35.5,281.1445,-43.36827394,0.167387661,45930,18767.20497,40.85990938,Seal Island
