Vessel,Transect No.,Date Time Start,Date Time End,Start Lon,Start Lat,End Lon,End Lat,Dist (km)
C1,T01,2024-08-04 19:55:39,2024-08-04 22:23:13,-66.44575859,43.56490721,-66.44849154,43.23503063,40.904821435
C1,T02,2024-08-04 23:01:13,2024-08-05 01:28:30,-66.30961294,43.23594396,-66.30918234,43.56765469,40.78248367
FM,T01,2024-08-04 20:58:10,2024-08-04 23:28:33,-66.47009986,43.56526446,-66.47021276,43.23356799,39.226780948
FM,T02,2024-08-05 00:09:40,2024-08-05 02:32:25,-66.33166074,43.23721739,-66.33218744,43.56808225,38.65760955
LB,T01,2024-08-04 19:45:40,2024-08-04 22:33:03,-66.40154667,43.566225,-66.40117543,43.23359087,38.992762936
LB,T02,2024-08-04 23:19:55,2024-08-05 01:32:43,-66.26280803,43.23487844,-66.26297553,43.56539196,37.81959711
LJ,T01,2024-08-04 19:49:31,2024-08-04 22:19:14,-66.37790838,43.56710959,-66.37814954,43.23399881,37.111670813
LJ,T02,2024-08-04 23:01:05,2024-08-05 01:23:10,-66.23985923,43.23442152,-66.24015558,43.56776834,37.1052371
LM,T01,2024-08-04 19:41:44,2024-08-04 22:08:03,-66.49217873,43.56668118,-66.49859656,43.23326903,38.137861228
LM,T02,2024-08-04 22:48:18,2024-08-05 01:12:38,-66.35516296,43.23209442,-66.35565048,43.56652523,38.17943548
MS,T01,2024-08-04 19:44:23,2024-08-04 22:30:32,-66.42443833,43.56556167,-66.42429537,43.23721148,41.46941611
MS,T02,2024-08-04 23:18:30,2024-08-05 01:34:05,-66.28596303,43.2376052,-66.28602804,43.56462949,39.7368936
C1,T03,2024-08-05 02:01:53,2024-08-05 03:52:40,-66.21106652,43.50033431,-66.20674741,43.24809492,30.7246149
FM,T03,2024-08-05 03:08:55,2024-08-05 04:56:12,-66.22021002,43.50132456,-66.22091067,43.24602842,29.6380058
LB,T03,2024-08-05 02:04:53,2024-08-05 03:47:54,-66.19305769,43.50161651,-66.19182256,43.24847469,29.0781977
LJ,T03,2024-08-05 01:52:43,2024-08-05 03:40:50,-66.18152515,43.50155948,-66.18226861,43.24802137,28.22081023
LM,T03,2024-08-05 01:50:27,2024-08-05 03:37:00,-66.23029149,43.50025028,-66.22979919,43.24806227,28.6742929
MS,T03,2024-08-05 02:09:06,2024-08-05 03:52:56,-66.20077203,43.50008164,-66.20136607,43.24939348,30.0208855
