Set_Number,No_jars,Tow_No,Lon1,Lat1,Lon2,Lat2,Time1,Time2,TideDirection,Speed,Heading,Observers,WindDirection,WindSpeed,Swell,AirTemp,FlowReading1,FlowReading2,DiscDepthD,DiscDepthA,CTD_ID,CTD_Lat,CTD_Lon
SB2023-19,1,1,65 13 55,45 03 39,65 12 92,45 03 85,17:40,17:50,with,3.7,42,Tracey,SE,8,0,12,531588,554898,7,6,10K100766_20231009_211743,45.0526,-65.2153
SB2023-20,1,2,65 12 31,45 03 63,65 12 42,45 03 42,17:56,18:06,against,1.6,200,Tracey,SE,8,0,12,554898,594023,7,6,10K100766_20231009_211743,45.0526,-65.2153
