,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),11.81,0.48,24.37,5.7505818507005E-76*
SourceHSC,0.63,0.50,1.26,0.21
"depth_bin[10,15)",-0.17,0.15,-1.09,0.28
"depth_bin[15,20)",-0.36,0.15,-2.36,0.02
"depth_bin[20,25)",-0.54,0.16,-3.46,0.000606945936939087*
"depth_bin[25,30]",-0.69,0.16,-4.31,0.0000218486936921111*
