Vessel,Transect.No.,Date.Time.Start,Date.Time.End,X,Y,Xend,Yend,Dist..km.,Type,Start.Lat,Start.Lon,End.Lat,End.Lon,Survey,Location,Distance,Start,End,Duration,Speed,Year,Date
BP,T01,2026-06-21T18:30:06Z,2026-06-21T21:33:24Z,-65.23272667,45.089785,-64.74592123,45.2561669,42.59936745,Actual,NA,NA,NA,NA,4,SB,42.59936745,2026-06-21T18:30:06Z,2026-06-21T21:33:24Z,10998,7.529219351155484,2026,2026-06-21
BP,T02,2026-06-21T21:36:29Z,2026-06-21T23:36:55Z,-64.75469102,45.26111823,-65.17091136,45.12018167,36.30733492,Actual,NA,NA,NA,NA,4,SB,36.30733492,2026-06-21T21:36:29Z,2026-06-21T23:36:55Z,7226,9.76690422237653,2026,2026-06-21
FM,T01,2026-06-21T19:54:13Z,2026-06-21T23:04:18Z,-65.22620182,45.06395808,-64.74461432,45.22200728,42.264562727,Actual,NA,NA,NA,NA,4,SB,42.264562727,2026-06-21T19:54:13Z,2026-06-21T23:04:18Z,11405,7.203467567843198,2026,2026-06-21
LB,T01,2026-06-21T18:28:19Z,2026-06-21T22:21:57Z,-65.23587912,45.07126748,-64.73653523,45.23774006,44.47011533,Actual,NA,NA,NA,NA,4,SB,44.47011533,2026-06-21T18:28:19Z,2026-06-21T22:21:57Z,14018,6.166556497579341,2026,2026-06-21
LB,T04,2026-06-22T00:33:54Z,2026-06-22T03:25:33Z,-64.7608207,45.26778933,-65.2312746,45.10792533,41.45633689,Actual,NA,NA,NA,NA,4,SB,41.45633689,2026-06-22T00:33:54Z,2026-06-22T03:25:33Z,10299,7.824496154991515,2026,2026-06-22
LJ,T01,2026-06-21T18:49:12Z,2026-06-21T21:41:21Z,-65.23213113,45.13146421,-64.78548002,45.28556184,39.177073296,Actual,NA,NA,NA,NA,4,SB,39.177073296,2026-06-21T18:49:12Z,2026-06-21T21:41:21Z,10329,7.372830105111496,2026,2026-06-21
LJ,T02,2026-06-21T21:46:20Z,2026-06-22T00:13:31Z,-64.79904002,45.29317361,-65.23523963,45.14358213,38.24837435,Actual,NA,NA,NA,NA,4,SB,38.24837435,2026-06-21T21:46:20Z,2026-06-22T00:13:31Z,8831,8.419060128694825,2026,2026-06-21
LJ,T03,2026-06-22T00:17:51Z,2026-06-22T02:40:47Z,-65.23588627,45.15334184,-64.81193372,45.30230816,37.39238467,Actual,NA,NA,NA,NA,4,SB,37.39238467,2026-06-22T00:17:51Z,2026-06-22T02:40:47Z,8576,8.475374652161006,2026,2026-06-22
LM,T01,2026-06-21T18:47:59Z,2026-06-21T22:02:55Z,-65.23307428,45.04836,-64.71234437,45.21921224,45.743341814,Actual,NA,NA,NA,NA,4,SB,45.743341814,2026-06-21T18:47:59Z,2026-06-21T22:02:55Z,11696,7.602405741426621,2026,2026-06-21
LM,T03,2026-06-21T23:42:43Z,2026-06-22T02:28:47Z,-64.75623296,45.28005497,-65.23229497,45.11944322,41.83608899,Actual,NA,NA,NA,NA,4,SB,41.83608899,2026-06-21T23:42:43Z,2026-06-22T02:28:47Z,9964,8.161648255953594,2026,2026-06-21
MS,T01,2026-06-21T19:42:53Z,2026-06-21T22:06:54Z,-65.23189262,45.16717055,-64.82842089,45.31025059,36.883899864,Actual,NA,NA,NA,NA,4,SB,36.883899864,2026-06-21T19:42:53Z,2026-06-21T22:06:54Z,8641,8.297234106195782,2026,2026-06-21
MS,T02,2026-06-21T22:10:29Z,2026-06-21T23:17:29Z,-64.8349313,45.31597217,-65.04705172,45.25089042,18.55611635,Actual,NA,NA,NA,NA,4,SB,18.55611635,2026-06-21T22:10:29Z,2026-06-21T23:17:29Z,4020,8.972666966612936,2026,2026-06-21
MS,T03,2026-06-21T23:24:23Z,2026-06-22T00:31:10Z,-65.0459871,45.26405597,-64.85144328,45.32397835,17.12273554,Actual,NA,NA,NA,NA,4,SB,17.12273554,2026-06-21T23:24:23Z,2026-06-22T00:31:10Z,4007,8.306428313469828,2026,2026-06-21
MS,T04,2026-06-22T00:38:54Z,2026-06-22T01:35:16Z,-64.86921864,45.33130487,-65.04912785,45.27640756,15.70043792,Actual,NA,NA,NA,NA,4,SB,15.70043792,2026-06-22T00:38:54Z,2026-06-22T01:35:16Z,3382,9.023991498052277,2026,2026-06-22
MS,T05,2026-06-22T01:42:01Z,2026-06-22T02:31:36Z,-65.04994493,45.28963337,-64.88730089,45.33873886,14.147597,Actual,NA,NA,NA,NA,4,SB,14.147597,2026-06-22T01:42:01Z,2026-06-22T02:31:36Z,2975,9.243920992430251,2026,2026-06-22
FM,T02,2026-06-21T23:04:19Z,2026-06-22T00:13:33Z,-64.74455099,45.22201728,-64.55417034,45.28686278,16.79043165,Actual,NA,NA,NA,NA,4,SB,16.79043165,2026-06-21T23:04:19Z,2026-06-22T00:13:33Z,4154,7.8569842702301385,2026,2026-06-21
FM,T03,2026-06-22T00:19:52Z,2026-06-22T01:22:20Z,-64.55505623,45.30586454,-64.73877346,45.25265712,15.74139766,Actual,NA,NA,NA,NA,4,SB,15.74139766,2026-06-22T00:19:52Z,2026-06-22T01:22:20Z,3748,8.164023059608965,2026,2026-06-22
