Vessel,Transect No.,Target Strength (db/kg),Mean Sa (/m2),Biomass Density (kg/m2),Distance
BP,T01,-35.5,-48.35799573,0.0517845762747714,42.59936745
BP,T02,-35.5,-41.25878341,0.265534930132915,36.30733492
FM,T01,-35.5,-48.47067181,0.0504583237560691,42.264562727
LB,T01,-35.5,-49.38061083,0.0409203101755015,44.47011533
LB,T04,-35.5,-42.93014475,0.180711389404706,41.45633689
LJ,T01,-35.5,-54.8250991,0.011681270745114,39.177073296
LJ,T02,-35.5,-50.88094668,0.0289671209031463,38.24837435
LJ,T03,-35.5,-50.90911405,0.0287798545677002,37.39238467
LM,T01,-35.5,-55.21751378,0.010672068938521,45.743341814
LM,T03,-35.5,-51.29574099,0.0263284869067465,41.83608899
MS,T01,-35.5,-50.13736804,0.034376621783321,36.883899864
MS,T02,-35.5,-54.35993236,0.0130018982792335,18.55611635
MS,T03,-35.5,-49.3609747,0.0411057455905969,17.12273554
MS,T04,-35.5,-50.50670386,0.0315740006810948,15.70043792
MS,T05,-35.5,-51.85610349,0.0231414011616078,14.147597
FM,T02,-35.5,-51.40804633,0.0256563792697973,16.79043165
FM,T03,-35.5,-55.39127887,0.0102534994627526,15.74139766
LB,T02,-35.5,-53.72125133,0.0150617303095835,14.97239715
LB,T03,-35.5,-50.16076074,0.0341919544295383,14.68521618
LM,T02,-35.5,-56.61970895,0.00772732369364092,13.72856378
