Vessel,Transect No.,Date Time Start,Date Time End,Start Lon,Start Lat,End Lon,End Lat,Dist (km)
BP,T01,2024-09-29 19:22:47,2024-09-29 21:46:53,-66.40037515,43.56508864,-66.40076722,43.23412208,36.896551918
BP,T02,2024-09-29 22:26:00,2024-09-30 00:45:25,-66.26079982,43.23591717,-66.26382883,43.56456489,36.59401084
FM,T01,2024-09-29 20:36:27,2024-09-29 23:02:37,-66.44822726,43.56531494,-66.44704275,43.23447139,37.667539247
FM,T02,2024-09-29 23:41:52,2024-09-30 02:03:20,-66.30846436,43.23421702,-66.30952737,43.56754582,37.8298636
LB,T01,2024-09-29 19:32:23,2024-09-29 22:09:47,-66.42458278,43.56640552,-66.42411101,43.23449823,38.160762973
LB,T02,2024-09-29 22:52:27,2024-09-30 01:20:01,-66.28637874,43.23333877,-66.28598118,43.56659067,37.99062888
LJ,T01,2024-09-29 19:35:12,2024-09-29 22:04:08,-66.37833261,43.56850045,-66.37835087,43.23384476,37.246841109
LJ,T02,2024-09-29 22:43:13,2024-09-30 01:07:52,-66.24111852,43.23291766,-66.24089035,43.56589607,37.0325382
LM,T01,2024-09-29 19:21:09,2024-09-29 21:43:38,-66.493255,43.56672667,-66.49278894,43.23332894,37.86636063
LM,T02,2024-09-29 22:16:35,2024-09-30 00:36:31,-66.35649333,43.23446825,-66.35532741,43.56648651,37.52874136
MS,T01,2024-09-29 19:21:19,2024-09-29 22:07:42,-66.46988661,43.56712903,-66.47034709,43.23376421,40.656087948
MS,T02,2024-09-29 22:49:01,2024-09-30 01:06:54,-66.33145329,43.23553226,-66.3309286,43.56750487,38.72592751
BP,T03,2024-09-30 01:11:02,2024-09-30 02:59:25,-66.19260167,43.50433833,-66.19324483,43.24653449,28.68913913
BP,T04,2024-09-30 03:13:18,2024-09-30 05:03:46,-66.14936748,43.24779112,-66.14983831,43.5044207,28.5527926
FM,T03,2024-09-30 02:35:08,2024-09-30 04:23:42,-66.21088653,43.50196897,-66.21087657,43.24493387,29.2375364
FM,T04,2024-09-30 04:40:13,2024-09-30 06:27:18,-66.15119162,43.24875346,-66.15389483,43.50198254,28.901924
LB,T03,2024-09-30 01:51:01,2024-09-30 03:33:54,-66.20274062,43.50405717,-66.20115178,43.24815379,29.16576778
LB,T04,2024-09-30 03:51:03,2024-09-30 05:43:14,-66.14404768,43.24628325,-66.14557165,43.50360041,29.3966352
LJ,T03,2024-09-30 01:31:54,2024-09-30 03:18:00,-66.18224675,43.50241949,-66.18263714,43.24822826,28.26528196
LJ,T04,2024-09-30 03:33:10,2024-09-30 05:27:01,-66.12504895,43.24678236,-66.1250297,43.50222621,28.405273
LM,T03,2024-09-30 01:10:43,2024-09-30 02:54:31,-66.23085356,43.50185999,-66.23055827,43.24723486,28.88996781
LM,T04,2024-09-30 03:08:45,2024-09-30 05:00:15,-66.17426445,43.24464685,-66.173835,43.50321072,29.2755429
MS,T03,2024-09-30 01:44:12,2024-09-30 03:26:35,-66.21993235,43.50224014,-66.22062759,43.24722208,30.0483655
MS,T04,2024-09-30 03:43:13,2024-09-30 05:36:58,-66.16354563,43.24680854,-66.16332,43.50081999,30.0245745
