Set_Number,No_jars,Tow_No,Lat1,Lon1,Lat2,Lon2,Time1,Time2,TideDirection,Speed,Heading,Observers,WindDirection,WindSpeed,Swell,AirTemp,FlowReading1,FlowReading2,DiscDepthD,DiscDepthA,CTD_ID,CTD_Lat,CTD_Lon
GB2024-07,1,1,43 34.21,66 21.46,43 33.95,66 21.38,18:55,19:05,against,1.7,163,Tracey,W,24,0.5,13,931518,964610,7,6,10K100766_20240929_222736,43.5659,-66.3617
GB2024-08,1,2,43 33.98,66 21.52,43 34.27,66 21.99,19:10,19:20,with,2.4,310,Tracey,W,24,0.5,13,964610,980257,7,6,10K100766_20240929_222736,43.5659,-66.3617
