id,Vessel,Y,X,Yend ,Xend
1,MS,45.25,-65.05,45.31666667,-64.83333333
2,MS,45.263055,-65.05,45.32444333,-64.85
3,MS,45.27611,-65.05,45.33222167,-64.86666667
4,MS,45.28916667,-65.05,45.34,-64.88333333
