Set_Number,No_jars,Tow_No,Lat1,Lon1,Lat2,Lon2,Time1,Time2,TideDirection,Speed,Heading,Observers,WindDirection,WindSpeed,Swell,AirTemp,FlowReading1,FlowReading2,DiscDepthD,DiscDepthA,CTD_ID,CTD_Lat,CTD_Lon
SB2023-19,1,1,45 03.02,65 13.30,45 03.22,65 13.13,18:26,18:36,against,1.4,29,Tracey,NE,8,0.5,14,862772,894742,9,8,10K100766_20240923_215814,45.054,-65.2071
SB2024-20,1,2,45 03.43,65 12.85,45 03.49,65 12.53,18:42,18:52,against,1.5,71,Tracey,NE,8,0.5,14,894742,931393,9,8,10K100766_20240923_215814,45.054,-65.2071
