Vessel,Transect No.,Target Strength (db/kg),Mean Sa (/m2),Biomass Density (kg/m2),Distance
C1,T01,-35.5,-57.75179467,0.00595416,48.88321426
C1,T02,-35.5,-60.2977451,0.003313031,40.53381097
FM,T01,-35.5,-52.15842718,0.02158526,44.47095969
FM,T02,-35.5,-59.03278601,0.004433242,37.96478782
LM,T01,-35.5,-53.90264276,0.014445605,45.94274345
LM,T02,-35.5,-60.65915925,0.003048485,39.36769409
MS,T01,-35.5,-59.35409723,0.004117089,43.26307153
MS,T02,-35.5,-59.06781521,0.004397628,37.34970395
SL,T01,-35.5,-59.61221228,0.003879527,46.95277908
SL,T02,-35.5,-59.99567667,0.003551668,40.63246637
TM,T01,-35.5,-58.78946104,0.004688716,43.9963678
TM,T02,-35.5,-62.00687203,0.002235182,37.4658261
