Vessel,Transect.No.,Date.Time.Start,Date.Time.End,X,Y,Xend,Yend,Dist..km.,Type,Start.Lat,Start.Lon,End.Lat,End.Lon,Survey,Location,Distance,Start,End,Duration,Speed,Year,Date
NA,NA,NA,NA,NA,NA,NA,NA,NA,Actual,NA,NA,NA,NA,5,SB,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,Actual,NA,NA,NA,NA,5,SB,NA,NA,NA,NA,NA,NA,NA
BP,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.03636667,-65.23333333,45.21621667,-64.68106667,5,SB,47.77303993942598,NA,NA,NA,NA,NA,NA
LM,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.05084444,-65.23333333,45.22682222,-64.69705926,5,SB,46.443751499559156,NA,NA,NA,NA,NA,NA
C1,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.06532222,-65.23333333,45.23742778,-64.71305185,5,SB,45.11540068706484,NA,NA,NA,NA,NA,NA
LB,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.0798,-65.23333333,45.24803333,-64.72904444,5,SB,43.78802490764279,NA,NA,NA,NA,NA,NA
LJ,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.09427778,-65.23333333,45.25863889,-64.74503704,5,SB,42.461666934894,NA,NA,NA,NA,NA,NA
BP,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.10875556,-65.23333333,45.26924444,-64.76102963,5,SB,41.13637518652095,NA,NA,NA,NA,NA,NA
LM,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.12323333,-65.23333333,45.27985,-64.77702222,5,SB,39.812204649537854,NA,NA,NA,NA,NA,NA
C1,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.13771111,-65.23333333,45.29045556,-64.79301481,5,SB,38.48921548846128,NA,NA,NA,NA,NA,NA
LB,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.15218889,-65.23333333,45.30106111,-64.80900741,5,SB,37.167477273569666,NA,NA,NA,NA,NA,NA
LJ,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.16666667,-65.23333333,45.31166667,-64.825,5,SB,35.84707290841503,NA,NA,NA,NA,NA,NA
MS,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.25,-65.05,45.31666667,-64.83333333,5,SB,18.522072044965643,NA,NA,NA,NA,NA,NA
MS,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.26305,-65.05,45.32445,-64.85,5,SB,17.088491673272745,NA,NA,NA,NA,NA,NA
MS,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.27611667,-65.05,45.33221667,-64.86666667,5,SB,15.653881253174083,NA,NA,NA,NA,NA,NA
MS,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.28916667,-65.05,45.34,-64.88333333,5,SB,14.22121072099839,NA,NA,NA,NA,NA,NA
FM,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.22458333,-64.69133333,45.26375,-64.55,5,SB,11.904658471060143,NA,NA,NA,NA,NA,NA
FM,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.23927778,-64.71327778,45.28527778,-64.55,5,SB,13.780154115879439,NA,NA,NA,NA,NA,NA
FM,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.25397222,-64.73522222,45.30680556,-64.55,5,SB,15.654979051649567,NA,NA,NA,NA,NA,NA
FM,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.26866667,-64.75716667,45.32833333,-64.55,5,SB,17.52902561099528,NA,NA,NA,NA,NA,NA
