Vessel,Transect No.,Target Strength (db/kg),Mean Sa (/m2),Biomass Density (kg/m2),Distance
BP,T01,-35.5,-54.08289865,0.013858305630003,46.375466322
BP,T02,-35.5,-51.89232087,0.0229492191393478,40.8535154
C1,T01,-35.5,-50.87748746,0.0289902028361641,47.4012753
C1,T02,-35.5,-57.18663043,0.0067816747480967,39.5931268
FM,T01,-35.5,-54.92159916,0.0114245758137306,12.38271372
FM,T02,-35.5,-55.54093072,0.00990619626215459,13.65886297
FM,T03,-35.5,-50.1324141,0.0344158571167376,15.48422303
FM,T04,-35.5,-55.43907214,0.0101412802867394,17.66899444
LB,T01,-35.5,-52.07250818,0.0220165457471264,45.411940454
LB,T02,-35.5,-55.25259045,0.0105862209715875,37.95111441
LJ,T01,-35.5,-54.47600008,0.0126590172598147,42.488447069
LJ,T02,-35.5,-55.80969954,0.00931172294971544,36.10408196
LM,T01,-35.5,-55.7816205,0.00937212236004073,47.603053493
LM,T02,-35.5,-54.22556692,0.0134104486645761,40.57234265
MS,T01,-35.5,-52.16902615,0.0215326452270637,18.91851285
MS,T02,-35.5,-55.00811253,0.0111992450365627,16.96991626
MS,T03,-35.5,-51.1890833,0.0269830892592433,15.31387155
MS,T04,-35.5,-43.85688724,0.145986022484316,14.71130523
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
