Set_Number,No_jars,Tow_No,Lat1,Lon1,Lat2,Lon2,Time1,Time2,TideDirection,Speed,Heading,Observers,WindDirection,WindSpeed,Swell,AirTemp,FlowReading1,FlowReading2,DiscDepthD,DiscDepthA,CTD_ID,CTD_Lat,CTD_Lon
SB2026-09,1,1,45 02.964,65 13.610,45 03.09,65 13.39,19:49,19:59,against,1.2,48,Tracey,SW,18,0,17,655392,695648,6,6,10K100766_20260705_232223,45.0561,-65.2113
SB2026-10,1,2,45 03.54,65 13.56,45 03.33,65 13.49,20:03,20:13,against,1.1,39,Tracey,SW,18,0,17,695648,733791,6,6,10K100766_20260705_232223,45.0561,-65.2113
