Vessel,Transect No.,Target Strength (db/kg),Mean Sa (/m2),Biomass Density (kg/m2),Distance
BP,T01,-35.5,-51.30656621,0.0262629422682704,44.089971399
BP,T02,-35.5,-53.84537344,0.0146373566882034,36.78643382
FM,T01,-35.5,-49.08441661,0.0438084955394228,48.101539081
FM,T02,-35.5,-47.11099121,0.0690082285254466,40.07941585
LB,T01,-35.5,-55.76204052,0.00941447156381363,43.199202795
LB,T02,-35.5,-52.05637046,0.0220985080557179,37.33687107
LJ,T01,-35.5,-49.62296903,0.0386992988868467,46.537266644
LJ,T02,-35.5,-53.65688477,0.015286621870061,39.45308447
MS,T01,-35.5,-50.38234921,0.0324911496898217,48.35134945
MS,T02,-35.5,-53.16603412,0.017115775760028,40.4639198
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
