Target Strength,Area (km2),Mean Sa,Density (kg/m2),Biomass (tons),Standard Error (tons),Standard Error (%),Layer,Turnover
-35.5,796,-31.3322690568426,2.54733644260194,2078194.36093304,513796.764398948,24.7232296486586,German Bank,2029605.387628
-35.5,272,-44.75326322,0.118760954109128,32302.9795176828,NA,NA,Seal Island,2029605.387628
-35.5,NA,-30.929827509052,2.82262681188342,NA,NA,NA,School Survey,2029605.387628
