Vessel,Transect No.,Target Strength (db/kg),Mean Sa (/m2),Biomass Density (kg/m2),Distance
BP,T01,-35.5,-43.90461952,0.144390309730618,43.224764281
BP,T02,-35.5,-54.6513465,0.0121580898903744,37.95350199
FM,T01,-35.5,-44.04810757,0.139697695851915,40.98877569
FM,T02,-35.5,-53.36484522,0.0163499142022444,37.22951466
LJ,T01,-35.5,-44.82782803,0.116739330149844,46.982279102
LJ,T02,-35.5,-55.22332097,0.0106578082656013,41.69359692
MS,T01,-35.5,-46.80715566,0.0740089825978019,49.32028834
MS,T02,-35.5,-54.61142797,0.0122703571272793,37.6930699
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
