Set_Number,Tow_No,No_jars,Lon1,Lat1,Lon2,Lat2,Time1,Time2,TideDirection,Observer,WindDirection,WindSpeed,Swell,AirTemp,FlowReading1,FlowReading2,DiscDepthD,DiscDepthA,CTD_ID,CTD_Lat,CTD_Lon
SB2024-11,1,1,65 11.66,45 03.49,65 12.13,45 03.26,19:04,19:14,against,Tracey,W,10,0.5,22,157440,199550,7,6,10K100766_20240729_224220,45.0528,-65.2122
SB2024-12,2,1,65 12.15,45 03.12,65 12.72,45 03.17,19:21,19:31,against,Tracey,W,10,0.5,22,199550,236886,7,6,10K100766_20240729_224220,45.0528,-65.2122
