Vessel,Transect No.,Target Strength (db/kg),Mean Sa (/m2),Biomass Density (kg/m2),Distance
LB,T01,-35.5,,,
LB,T02,-35.5,,,
LJ,T01,-35.5,,,
LJ,T02,-35.5,,,
LM,T01,-35.5,,,
LM,T02,-35.5,,,
SL,T01,-35.5,,,
SL,T02,-35.5,,,
TM,T01,-35.5,,,
TM,T02,-35.5,,,
LB,T03,-35.5,,,
LJ,T03,-35.5,,,
LM,T03,-35.5,,,
SL,T03,-35.5,,,
TM,T03,-35.5,,,
