Vessel,Transect No.,Date Time Start,Date Time End,Start Lon,Start Lat,End Lon,End Lat,Dist (km)
BP,T01,2024-10-20 18:18:35,2024-10-20 20:38:06,-66.46968665,43.56384095,-66.46979833,43.23606667,36.48246557
BP,T02,2024-10-20 21:20:44,2024-10-20 23:27:42,-66.3219745,43.23561413,-66.32230226,43.56156998,36.3332355
FM,T01,2024-10-20 19:40:06,2024-10-20 22:06:22,-66.42455773,43.56188524,-66.42404827,43.23365078,38.713858953
FM,T02,2024-10-20 22:48:59,2024-10-21 01:02:53,-66.28609389,43.23488647,-66.286095,43.56547219,37.96217817
LB,T01,2024-10-20 18:39:16,2024-10-20 20:57:49,-66.49339701,43.56657085,-66.49336069,43.23234343,38.272157598
LB,T02,2024-10-20 21:44:17,2024-10-20 23:57:14,-66.35499405,43.23558663,-66.35550715,43.56601318,38.14875808
LJ,T01,2024-10-20 18:41:12,2024-10-20 21:08:35,-66.37771329,43.56784609,-66.37813198,43.23437671,37.120781123
LJ,T02,2024-10-20 21:48:50,2024-10-21 00:12:39,-66.24027591,43.23348328,-66.23949734,43.56776649,37.22178554
LM,T01,2024-10-20 18:29:03,2024-10-20 21:00:23,-66.39999333,43.57398794,-66.4016345,43.23326452,38.803468481
LM,T02,2024-10-20 21:38:07,2024-10-20 23:59:02,-66.26295014,43.23418308,-66.26197275,43.56680387,37.85860036
MS,T01,2024-10-20 18:16:27,2024-10-20 20:51:00,-66.44698378,43.56557647,-66.44750733,43.233595,39.928182794
MS,T02,2024-10-20 21:34:32,2024-10-20 23:48:45,-66.30785345,43.23432031,-66.30899954,43.56428379,39.32489398
BP,T03,2024-10-21 00:07:56,2024-10-21 01:59:22,-66.22144995,43.50503917,-66.22011246,43.25741518,27.6155228
BP,T04,2024-10-21 02:16:39,2024-10-21 03:47:17,-66.16212377,43.25283966,-66.17126404,43.50497343,28.2032676
FM,T03,2024-10-21 01:46:42,2024-10-21 03:40:01,-66.20243167,43.50461301,-66.20129513,43.24897491,29.87861446
FM,T04,2024-10-21 03:58:17,2024-10-21 05:48:00,-66.14392532,43.25049269,-66.14685654,43.50515655,29.5043441
LB,T03,2024-10-21 00:54:19,2024-10-21 02:59:00,-66.23247502,43.50676412,-66.22882585,43.2495019,29.8802019
LB,T04,2024-10-21 03:15:55,2024-10-21 05:15:40,-66.17218214,43.24903957,-66.17446667,43.50570167,29.7407208
LJ,T03,2024-10-21 00:51:28,2024-10-21 02:46:04,-66.18287137,43.503143,-66.18233667,43.24601598,28.62105589
LJ,T04,2024-10-21 03:01:29,2024-10-21 04:53:54,-66.1254369,43.24454167,-66.125185,43.50048112,28.5263354
LM,T03,2024-10-21 00:35:17,2024-10-21 02:22:14,-66.19294503,43.50408897,-66.19214333,43.25016399,28.86132812
LM,T04,2024-10-21 02:37:14,2024-10-21 04:28:41,-66.13298385,43.24877203,-66.13467833,43.50278177,28.9772894
MS,T03,2024-10-21 00:36:51,2024-10-21 02:35:32,-66.21084429,43.50180141,-66.21095087,43.24800321,30.6122931
MS,T04,2024-10-21 02:52:52,2024-10-21 04:43:10,-66.15407779,43.24861007,-66.15247886,43.50099158,31.0157081
