Vessel,Transect No.,Target Strength (db/kg),Mean Sa (/m2),Biomass Density (kg/m2),Distance
BP,T01,-35.5,-60.85056414,0.00291704807057605,36.48246557
BP,T02,-35.5,-59.08777139,0.0043774668004993,36.3332355
FM,T01,-35.5,-55.92932067,0.00905874288043286,38.713858953
FM,T02,-35.5,-55.46095043,0.0100903204070388,37.96217817
LB,T01,-35.5,-57.37263634,0.00649735155560195,38.272157598
LB,T02,-35.5,-58.22217521,0.00534296684204339,38.14875808
LJ,T01,-35.5,-61.0062422,0.00281433492388612,37.120781123
LJ,T02,-35.5,-57.85562979,0.00581349122139403,37.22178554
LM,T01,-35.5,-61.32660779,0.00261420247205936,38.803468481
LM,T02,-35.5,-55.28560608,0.0105060482739657,37.85860036
MS,T01,-35.5,-55.61223265,0.00974488537365769,39.928182794
MS,T02,-35.5,-58.80977787,0.00466683249302603,39.32489398
BP,T03,-35.5,-55.44658838,0.0101237441729073,27.6155228
BP,T04,-35.5,-56.68409932,0.0076136002050526,28.2032676
FM,T03,-35.5,-51.83982042,0.0232283284309849,29.87861446
FM,T04,-35.5,-53.74180946,0.0149906013161874,29.5043441
LB,T03,-35.5,-56.6917095,0.0076002705094391,29.8802019
LB,T04,-35.5,-55.34322679,0.0103675782281454,29.7407208
LJ,T03,-35.5,-54.74986933,0.0118853798748668,28.62105589
LJ,T04,-35.5,-58.05578687,0.00555164021438886,28.5263354
LM,T03,-35.5,-59.41161662,0.00406292062648058,28.86132812
LM,T04,-35.5,-59.76031533,0.00374945777413194,28.9772894
MS,T03,-35.5,-53.8681463,0.0145608044707007,30.6122931
MS,T04,-35.5,-56.4570637,0.00802220267662233,31.0157081
