Set_Number,No_jars,Tow_No,Lon1,Lat1,Lon2,Lat2,Time1,Time2,TideDirection,Speed,Heading,Observers,WindDirection,WindSpeed,Swell,AirTemp,FlowReading1,FlowReading2,DiscDepthD,DiscDepthA,CTD_ID,CTD_Lat,CTD_Lon
GB2023-11,1,1,66 21 35,43 34 23,66 21 85,43 34 12,19:01,19:17,with,2.1,248,Tracey,NW,11,0.5,12,594023,616254,7,6,10J101609_20231011_223345,43.565,-66.36
GB2023-12,1,2,66 21 75,43 33 99,66 21 65,43 33 75,19:17,19:27,against,1.5,0.3,Tracey,NW,11,0.5,12,616254,645863,7,6,10J101609_20231011_223345,43.565,-66.36
