Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14962619484847614,15.35561010212637,38254.694901672607,47396.997350384423,30.507123401325483,1502.5837590613755,1022.4366741663959
0.44999999999999996,0.448884345146133,15.368734173644917,38269.430749512052,47399.839916824276,30.509903961677441,1502.6335835808786,1022.4373296740812
0.74999999999999989,0.748140225862239,15.3683180001003,38269.680801013121,47400.638293770418,30.510341403679465,1502.6377343668676,1022.439093553064
1.05,1.0473960177937023,15.366158446723226,38264.142694552982,47396.314347147294,30.506997795269779,1502.6319761147884,1022.43832520872
1.35,1.3466503888943582,15.364502386741666,38276.264681077635,47413.274557857621,30.518927623835115,1502.6455011042742,1022.4491913183668
1.65,1.6459026996387371,15.363993760316664,38279.099472427064,47417.383546992649,30.52172969215297,1502.6520967045442,1022.4527930547263
1.9500000000000002,1.9451534194250921,15.360405290351405,38284.216426999832,47427.938534789806,30.528947510607697,1502.6540344597584,1022.4604518345452
2.25,2.2444021069195332,15.359144871195825,38290.577291928013,47437.300039595066,30.535462100715172,1502.6625440534483,1022.467069521615
2.55,2.5436496077969077,15.357744502148011,38289.825550935122,47438.014714743505,30.535775430965103,1502.6634281435418,1022.4689494826707
2.85,2.8428966053486553,15.357114871290076,38290.091750370164,47439.084622981325,30.536393296118931,1502.6671103342858,1022.4708979043735
3.15,3.142143107825206,15.355806585635884,38289.367001325867,47439.724590902442,30.536659080055575,1502.668231314874,1022.472721497321
3.4499999999999997,3.4413890266504819,15.356710232894356,38292.345971321047,47442.353143182292,30.538492932780965,1502.6781869098927,1022.4752752312406
3.75,3.7406346718931824,15.358797371005451,38292.557434162925,47440.16166060618,30.536952113278442,1502.6879894296862,1022.4749799269512
4.05,4.0398798673102778,15.353866753044592,38290.35599035371,47443.230440196668,30.538721318693938,1502.6793575079496,1022.4787380645774
4.35,4.33912416353435,15.345651753832881,38282.80474745659,47443.532429513529,30.538294799863351,1502.6577565625357,1022.4815136139122
4.6499999999999995,4.638367326957419,15.34341082245726,38286.144692708876,47450.3071408588,30.54289262006213,1502.6609334175287,1022.4868682306892
4.9499999999999993,4.9376076331772225,15.321758281841914,38279.865381422795,47468.00116435071,30.554040788865905,1502.6100651696797,1022.5014282834241
5.2499999999999991,5.2368449465791276,15.308959327927965,38271.9957217018,47473.311591035228,30.556897393450313,1502.5776853066798,1022.5077099059748
5.55,5.5360810960677105,15.305284675684225,38268.803907578025,47473.680207827943,30.556812768276171,1502.5708771061954,1022.5097714225051
5.85,5.83531560833314,15.291554795264149,38264.562776847648,47484.594440799847,30.563618704009613,1502.5400981037296,1022.5192878548155
6.1499999999999995,6.1345455983097237,15.26293631922405,38260.549467876663,47513.362121093829,30.582224655365916,1502.4756380873535,1022.54106714929
6.4499999999999993,6.4337682108110457,15.212223229029942,38240.85180386337,47548.790806792043,30.604123427453668,1502.3446017423219,1022.5700987925775
6.7499999999999991,6.7329820267031408,15.125673197610734,38182.173867278136,47578.2346120883,30.619302139306875,1502.0912644339098,1022.601580427695
7.0499999999999989,7.0321877389269769,15.059373703491859,38137.113225446315,47600.73573257339,30.630816652908365,1501.8978310287012,1022.6258787460284
7.35,7.331388340553648,14.980916468655575,38058.440254274763,47595.757696189874,30.621786691148426,1501.6412423981187,1022.6369032798727
7.6499999999999995,7.630580743119685,14.854264346220901,37972.864829431965,47639.650928637282,30.644320793798293,1501.2660481852324,1022.6823168992642
7.9499999999999993,7.929759853707008,14.749101841143181,37913.364374829951,47690.844092968779,30.673442245987992,1500.9665093791223,1022.7281619520145
