Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14987273250065514,15.513513678678326,35748.094648342092,44118.729039238817,28.18168360386494,1500.3963643131972,1020.6163002800976
0.44999999999999996,0.44927842307632493,12.571918487548828,35798.74609375,47640.295644756006,30.464249231869772,1493.3804040546847,1022.9657315380482
0.74999999999999989,0.74826918394635966,12.132772869239505,35951.645862718848,48409.589541454508,30.969001532247805,1492.4813851178174,1023.4398474903962
1.05,1.0470962807584561,11.774514906103095,36415.784575586862,49512.256883017784,31.716825282662779,1492.1418287509584,1024.0870042596939
1.35,1.3458226055356888,11.771933102935963,36469.396112686482,49588.630560429629,31.770821324393935,1492.2023938347161,1024.1307419040436
1.65,1.6445455624756113,11.763027777974285,36430.757988573,49548.09245934803,31.740887640444178,1492.1406821724977,1024.1104847374304
1.9500000000000002,1.9432697679575082,11.753273685720185,36434.188580937567,49565.909274489211,31.752422148101928,1492.1256124014121,1024.122570435512
2.25,2.2419905747152651,11.748108172801988,36442.139001159863,49583.693982009427,31.76441832084376,1492.1269962514666,1024.1341780686973
2.55,2.5407057950261152,11.751654614085325,36480.466302996385,49631.05292273697,31.79840139622458,1492.1848769385722,1024.1612657118194
2.85,2.8394173394805358,11.775880619714114,36504.084754654905,49630.469943235694,31.800428482086634,1492.2761803327351,1024.1597728160343
3.15,3.1381359309327208,11.794317633490186,36461.370406101167,49547.556186928749,31.74319409302128,1492.2765371871451,1024.1133348612602
3.4499999999999997,3.4368647581041447,11.772544306339905,36404.122623995449,49499.053316415564,31.706238788499231,1492.1618713833434,1024.0899790582882
3.75,3.73559065407166,11.731346130371096,36414.453125,49568.634097636466,31.751305410309296,1492.0778966741611,1024.1338226073594
4.05,4.0343089577195812,11.702356656432034,36391.638574365221,49576.705543767363,31.753849822470688,1491.9853052464844,1024.1424257930651
4.35,4.3330276516039881,11.665100144888779,36333.695596657082,49548.065398809638,31.729366398088551,1491.8315733293189,1024.131536262084
4.6499999999999995,4.6317422671737116,11.615223197035212,36328.126566620289,49607.954553670228,31.766527931567502,1491.7076227887162,1024.1707807098144
4.9499999999999993,4.9304492669403945,11.602596282958984,36330.0078125,49627.637793297879,31.779056203507924,1491.6836418983021,1024.1841482593059
5.2499999999999991,5.2291495041685385,11.603342089788868,36373.402824965568,49685.904002619136,31.820491353844513,1491.7408038512606,1024.2175450624316
5.55,5.5278396164197536,11.631889125567655,36452.053842797992,49754.537252838345,31.872317837017491,1491.9070736805177,1024.253974303906
5.85,5.8265295336512617,11.673735511736966,36451.438454293362,49696.926077556978,31.835663551433335,1492.0135053456663,1024.2192719471996
6.1499999999999995,6.12522527743854,11.672389266848175,36441.7977898651,49685.60614457765,31.827335022160987,1492.003802353883,1024.2144043690068
6.4499999999999993,6.4239219881724194,11.668441107457449,36433.866307997559,49680.140752680942,31.822897161545658,1491.9897200313651,1024.213030171333
6.7499999999999991,6.7226232138709809,11.660049438476563,36384.0390625,49623.554277470677,31.781584344346172,1491.9160578839515,1024.1838316303511
7.0499999999999989,7.0213260934622186,11.628644373135407,36371.303832805061,49648.716810662139,31.796005214055192,1491.8291170295563,1024.2020775737644
7.35,7.3200283636659851,11.580710066415859,36297.767286521928,49613.262318609704,31.765480189577914,1491.6307325852126,1024.1883999471193
