Vessel,Transect.No.,Date.Time.Start,Date.Time.End,X,Y,Xend,Yend,Dist..km.,Type,Start.Lat,Start.Lon,End.Lat,End.Lon,Survey,Location,Distance,Start,End,Duration,Speed,Year,Date
BP,T01,2026-06-07 18:20,2026-06-07 21:25,-65.2355574,45.03918435,-64.71694989,45.20346498,44.81653288,Actual,NA,NA,NA,NA,3,SB,44.81653288,2026-06-08T01:20:00Z,2026-06-08T04:25:00Z,11100,7.848303538,2026,2026-06-07
BP,T02,2026-06-07 21:50,2026-06-07 23:46,-64.75672581,45.2546673,-65.12829474,45.12918801,32.40967901,Actual,NA,NA,NA,NA,3,SB,32.40967901,2026-06-08T04:50:00Z,2026-06-08T06:46:00Z,6960,9.05161357,2026,2026-06-07
BP,T03,2026-06-08 0:04,2026-06-08 1:59,-65.16297444,45.17007421,-64.81698045,45.30097742,31.4591404,Actual,NA,NA,NA,NA,3,SB,31.4591404,2026-06-08T07:04:00Z,2026-06-08T08:59:00Z,6900,8.862541373,2026,2026-06-08
FM,T01,2026-06-07 20:12,2026-06-07 23:12,-65.22559009,45.11247886,-64.7637597,45.26815283,40.76874356,Actual,NA,NA,NA,NA,3,SB,40.76874356,2026-06-08T03:12:00Z,2026-06-08T06:12:00Z,10800,7.337769859,2026,2026-06-07
FM,T03,2026-06-08 1:24,2026-06-08 4:03,-64.76974399,45.28023581,-65.22684402,45.12532794,40.2929539,Actual,NA,NA,NA,NA,3,SB,40.2929539,2026-06-08T08:24:00Z,2026-06-08T11:03:00Z,9540,8.20996389,2026,2026-06-08
LJ,T01,2026-06-07 18:48,2026-06-07 21:19,-65.23280801,45.16680199,-64.82390688,45.31233719,36.4470815,Actual,NA,NA,NA,NA,3,SB,36.4470815,2026-06-08T01:48:00Z,2026-06-08T04:19:00Z,9060,7.819789724,2026,2026-06-07
LM,T01,2026-06-07 18:50,2026-06-07 22:02,-65.24572642,45.04574883,-64.7106602,45.22318984,47.06409039,Actual,NA,NA,NA,NA,3,SB,47.06409039,2026-06-08T01:50:00Z,2026-06-08T05:02:00Z,11520,7.941411585,2026,2026-06-07
MS,T01,2026-06-07 19:39,2026-06-07 23:16,-65.22230927,45.06899259,-64.72895393,45.23219788,47.55179069,Actual,NA,NA,NA,NA,3,SB,47.55179069,2026-06-08T02:39:00Z,2026-06-08T06:16:00Z,13020,7.099314348,2026,2026-06-07
MS,T02,2026-06-07 23:22,2026-06-08 2:11,-64.73723629,45.24432728,-65.23199779,45.08025496,44.91063961,Actual,NA,NA,NA,NA,3,SB,44.91063961,2026-06-08T06:22:00Z,2026-06-08T09:11:00Z,10140,8.609378471,2026,2026-06-07
MS,T03,2026-06-08 2:35,2026-06-08 4:53,-65.23039937,45.13922169,-64.793017,45.29045,38.6563064,Actual,NA,NA,NA,NA,3,SB,38.6563064,2026-06-08T09:35:00Z,2026-06-08T11:53:00Z,8280,9.075081477,2026,2026-06-08
LJ,T02,2026-06-07 21:22,2026-06-07 22:36,-64.83118653,45.31677957,-65.04959592,45.25040587,18.74583626,Actual,NA,NA,NA,NA,3,SB,18.74583626,2026-06-08T04:22:00Z,2026-06-08T05:36:00Z,4440,8.206960891,2026,2026-06-07
LJ,T03,2026-06-07 22:43,2026-06-07 23:50,-65.04990981,45.26323758,-64.85029251,45.32415496,17.10397013,Actual,NA,NA,NA,NA,3,SB,17.10397013,2026-06-08T05:43:00Z,2026-06-08T06:50:00Z,4020,8.27049286,2026,2026-06-07
LJ,T04,2026-06-07 23:56,2026-06-08 0:59,-64.86111712,45.33321535,-65.04945922,45.27670731,16.16505569,Actual,NA,NA,NA,NA,3,SB,16.16505569,2026-06-08T06:56:00Z,2026-06-08T07:59:00Z,3780,8.312772977,2026,2026-06-07
LJ,T05,2026-06-08 1:04,2026-06-08 1:57,-65.04984733,45.2895381,-64.88196125,45.33980374,14.3552981,Actual,NA,NA,NA,NA,3,SB,14.3552981,2026-06-08T08:04:00Z,2026-06-08T08:57:00Z,3180,8.77496939,2026,2026-06-08
FM,T02,2026-06-07 23:13,2026-06-08 0:32,-64.76369043,45.26817962,-64.55500944,45.32707369,17.85452957,Actual,NA,NA,NA,NA,3,SB,17.85452957,2026-06-08T06:13:00Z,2026-06-08T07:32:00Z,4740,7.322014506,2026,2026-06-07
LM,T02,2026-06-07 22:02,2026-06-07 22:54,-64.71060982,45.22320389,-64.55004481,45.26405404,13.51848482,Actual,NA,NA,NA,NA,3,SB,13.51848482,2026-06-08T05:02:00Z,2026-06-08T05:54:00Z,3120,8.422362671,2026,2026-06-07
LM,T03,2026-06-07 23:02,2026-06-07 23:55,-64.55049826,45.28516298,-64.71223255,45.23941832,13.76240881,Actual,NA,NA,NA,NA,3,SB,13.76240881,2026-06-08T06:02:00Z,2026-06-08T06:55:00Z,3180,8.412553692,2026,2026-06-07
LM,T04,2026-06-08 0:04,2026-06-08 1:04,-64.73404357,45.25452801,-64.54817199,45.31028801,15.93878042,Actual,NA,NA,NA,NA,3,SB,15.93878042,2026-06-08T07:04:00Z,2026-06-08T08:04:00Z,3600,8.606233037,2026,2026-06-08
BP,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.036367,-65.233333,45.216217,-64.681067,3,SB,NA,NA,NA,NA,NA,NA,NA
BP,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.094283,-65.233333,45.258633,-64.745033,3,SB,NA,NA,NA,NA,NA,NA,NA
BP,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.152183,-65.233333,45.301067,-64.809,3,SB,NA,NA,NA,NA,NA,NA,NA
LM,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.05085,-65.233333,45.226817,-64.697067,3,SB,NA,NA,NA,NA,NA,NA,NA
LM,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.224583,-64.691333,45.26375,-64.55,3,SB,NA,NA,NA,NA,NA,NA,NA
LM,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.239283,-64.713167,45.285283,-64.55,3,SB,NA,NA,NA,NA,NA,NA,NA
