Set_Number,No_jars,Tow_No,Lon1,Lat1,Lon2,Lat2,Time1,Time2,TideDirection,Speed,Heading,Observers,WindDirection,WindSpeed,Swell,AirTemp,FlowReading1,FlowReading2,DiscDepthD,DiscDepthA,CTD_ID,CTD_Lat,CTD_Lon
SB2023-17,1,1,65 12.78,45 03.35,65 11.13,45 03.37,18:41,18:51,with,7.1,87,Tracey,NE,10,0,13,320581,377915,9,8,10K100766_20230924_221531,45.0553,-65.2061
SB2023-18,1,2,65 12.10,45 03.08,65 12.92,45 03.10,19:00,19:10,against,3.8,270,Tracey,NE,10,0,13,377915,438683,9,8,10K100766_20230924_221531,45.0553,-65.2061
