Target Strength,Area (km2),Mean Sa,Density (kg/m2),Biomass (tons),Standard Error (tons),Standard Error (%),Layer,Turnover
-35.5,661,-58.36183951,0.005193412,3419.932296,1583.847335,46.31224242,Main Box,2997
NA,77,NA,NA,NA,NA,NA,Northern Box,2997
NA,115,NA,NA,NA,NA,NA,Eastern Box,2997
