Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14931008797490561,12.341854071358874,37566.580346847906,50300.904013844076,32.338727886914214,1494.8186526847205,1024.4599453046324
0.44999999999999996,0.44793643589721871,12.337296278813895,37562.567528188862,50301.67054370082,32.338692627230252,1494.8080203360728,1024.4621304291898
0.74999999999999989,0.74655946583556532,12.338655889530227,37570.507984364172,50310.471934929716,32.345005411805111,1494.8251158463979,1024.4681170526928
1.05,1.0451819162931391,12.339289483919105,37567.368177385724,50305.413810250524,32.341327991352266,1494.8278450458574,1024.4664959409113
1.35,1.3438040785469143,12.342528194961277,37574.789818796678,50310.9880812338,32.34552198311588,1494.8488234763966,1024.4704840681256
1.65,1.6424249923064382,12.343703253012084,37581.146520887829,50317.916070437648,32.350475795072306,1494.8636715561595,1024.4754518186453
1.9500000000000002,1.9410446598453714,12.346721617466347,37588.29414436876,50323.418651544278,32.354596348994157,1494.8838100309392,1024.4794244118607
2.25,2.2396640640849172,12.349123912842217,37586.989158984987,50318.434840262715,32.351150841615024,1494.8928429124726,1024.4776479822906
2.55,2.5382836166833425,12.347915054446428,37585.448178529819,50318.000514536237,32.350595362468148,1494.8930086428293,1024.4787960238568
2.85,2.8369025855059062,12.345636733334619,37585.497493474024,50321.136257298444,32.352486174083182,1494.892440920579,1024.4820430855702
3.15,3.1355203208134741,12.343206068705866,37588.546863279131,50328.494551487987,32.357382919916525,1494.8949314592423,1024.487649324
3.4499999999999997,3.4341371246071954,12.341228217448039,37586.153304344218,50327.955317203159,32.356674314716514,1494.8922931499751,1024.4888242382388
3.75,3.7327533494117167,12.340047904141327,37587.390932585222,50331.203416073367,32.358756493070146,1494.8956949691649,1024.4920116620208
4.05,4.0313691504430942,12.340257479558931,37586.091850546727,50329.181408460259,32.357208474970435,1494.8995133893907,1024.4921215537574
4.35,4.329984096575644,12.339759480181327,37592.100543745189,50337.898619429783,32.363273215878806,1494.9099815217821,1024.4982672324181
4.6499999999999995,4.6285979352775275,12.340456726214322,37593.698024087636,50339.0977509061,32.364079517847593,1494.9182646473746,1024.5001099177359
4.9499999999999993,4.9272114172385519,12.342187926406739,37595.349259389448,50338.974959744774,32.364044693251287,1494.9290707902323,1024.5011046461075
5.2499999999999991,5.2258250393023067,12.3428125951426,37592.273059142339,50334.014026613768,32.360435743897426,1494.9318509451693,1024.4995381419037
5.55,5.5244389313144,12.3422026955518,37590.018433996622,50331.817247720028,32.358679647441754,1494.9326285407847,1024.499641907451
5.85,5.823052624253414,12.341312946818286,37589.524520656967,50332.355177484234,32.358852004679044,1494.9347476405533,1024.5012936875928
6.1499999999999995,6.121666060603582,12.341084479835288,37588.242187028751,50330.946075397107,32.357698196342341,1494.9375422085257,1024.5017921092128
6.4499999999999993,6.4202790084880688,12.340696618929806,37590.470534254775,50334.452672206375,32.360045595966049,1494.9439610217248,1024.5050349761225
6.7499999999999991,6.7188911031673513,12.339948953814288,37591.957542188,50337.451704453888,32.3619933372736,1494.9486776596714,1024.5080361636099
