id,Region_ID,Region_name,Region_class,Process_ID,Depth_mean,Ping_S,Ping_E,Dist_S,Dist_E,Date_S,Time_S,Date_E,Time_E,Lat_S,Lon_S,Lat_E,Lon_E,Program_version,Processing_date,Processing_time,EV_filename,Uncorrected_area,Area_Backscatter_Strength,Frequency,Region_notes
1,1,BP_T01,Transect,667,25.725987,773,10843,3011.44284,46769.3161,20260913, 18:28:46.1680,20260913, 21:16:36.1580,45.0622209,-65.23325563,45.22870529,-64.72990054,14.0.230.0,20260919, 14:01:33.8700,BP_Sep_13_2026,1714302.066,-58.74423,38,
2,2,BP_T02,Transect,667,30.13032,12889,21238,56056.58966,92646.55338,20260913, 21:50:42.1590,20260914, 00:09:51.1600,45.28558355,-64.81266316,45.14138453,-65.2307848,14.0.230.0,20260919, 14:01:33.8700,BP_Sep_13_2026,1768776.734,-55.00576884,38,
3,1,LM_T01,Transect,668,20.72571,7,11140,17.438808,47987.69727,20260913, 18:56:58.8710,20260913, 22:02:31.8710,45.03715678,-65.23199886,45.21648479,-64.6802454,14.0.230.0,20260919, 14:01:38.2330,LM_Sep_13_2026,1551373.495,-61.68813055,38,
4,2,LM_T02,Transect,668,36.119161,13245,22926,57717.37181,98543.70237,20260913, 22:37:36.8710,20260914, 01:18:57.8710,45.27273165,-64.76854338,45.11430903,-65.23393158,14.0.230.0,20260919, 14:01:38.2330,LM_Sep_13_2026,2533258.115,-48.90825558,38,
5,1,MS_T01,Transect,669,29.545845,0,10395,0,43553.29931,20260913, 19:45:07.0790,20260913, 22:39:01.4860,45.08952333,-65.23050167,45.25143357,-64.74941085,14.0.230.0,20260919, 14:01:43.9560,MS_Sep_13_2026,2136800.293,-53.18073784,38,
6,2,MS_T02,Transect,669,26.871028,13147,22816,53841.08406,91940.83144,20260913, 23:24:54.4970,20260914, 02:06:04.4980,45.30701729,-64.83236135,45.16305456,-65.24382062,14.0.230.0,20260919, 14:01:43.9560,MS_Sep_13_2026,1667290.869,-50.84319056,38,
