Vessel,Start Lat,Start Lon,End Lat,End Lon
V4,4334,6629.6,4314,6629.6
V3,4334,6628.126667,4314,6628.126667
V2,4334,6626.653333,4314,6626.653333
V1,4334,6625.18,4314,6625.18
V4,4334,6623.706667,4314,6623.706667
V3,4334,6622.233333,4314,6622.233333
V2,4334,6620.76,4314,6620.76
V1,4334,6619.286667,4314,6619.286667
V4,4334,6617.813333,4314,6617.813333
V3,4334,6616.34,4314,6616.34
V2,4334,6614.866667,4314,6614.866667
V1,4330.12,6613.393333,4314.85,6613.393333
V4,4330.12,6611.92,4314.85,6611.92
V3,4330.12,6610.446667,4314.85,6610.446667
V2,4330.12,6608.973333,4314.85,6608.973333
V1,4330.12,6607.5,4314.85,6607.5
